image name [15278], angle_normal : tensor([[2.0114]], device='cuda:0'), angle_fog : tensor([[2.8662]], device='cuda:0'), diff: 0.8548
image name [17265], angle_normal : tensor([[0.7971]], device='cuda:0'), angle_fog : tensor([[0.2000]], device='cuda:0'), diff: 0.5971
image name [28010], angle_normal : tensor([[0.6111]], device='cuda:0'), angle_fog : tensor([[0.1086]], device='cuda:0'), diff: 0.5025
image name [36132], angle_normal : tensor([[-0.1179]], device='cuda:0'), angle_fog : tensor([[1.9700]], device='cuda:0'), diff: 2.0879
image name [32990], angle_normal : tensor([[0.0289]], device='cuda:0'), angle_fog : tensor([[2.2751]], device='cuda:0'), diff: 2.2462
image name [16314], angle_normal : tensor([[2.0386]], device='cuda:0'), angle_fog : tensor([[2.6190]], device='cuda:0'), diff: 0.5803
image name [19306], angle_normal : tensor([[2.4972]], device='cuda:0'), angle_fog : tensor([[0.1334]], device='cuda:0'), diff: 2.3639
image name [37397], angle_normal : tensor([[1.8218]], device='cuda:0'), angle_fog : tensor([[2.4839]], device='cuda:0'), diff: 0.6621
image name [6949], angle_normal : tensor([[-0.2755]], device='cuda:0'), angle_fog : tensor([[0.6578]], device='cuda:0'), diff: 0.9333
image name [34015], angle_normal : tensor([[0.0315]], device='cuda:0'), angle_fog : tensor([[-0.5908]], device='cuda:0'), diff: 0.6223
image name [24036], angle_normal : tensor([[1.2153]], device='cuda:0'), angle_fog : tensor([[2.5076]], device='cuda:0'), diff: 1.2923
image name [39276], angle_normal : tensor([[2.1010]], device='cuda:0'), angle_fog : tensor([[2.9107]], device='cuda:0'), diff: 0.8096
image name [12989], angle_normal : tensor([[1.9935]], device='cuda:0'), angle_fog : tensor([[-0.3891]], device='cuda:0'), diff: 2.3825
image name [10730], angle_normal : tensor([[2.3009]], device='cuda:0'), angle_fog : tensor([[0.1062]], device='cuda:0'), diff: 2.1947
image name [25516], angle_normal : tensor([[2.7510]], device='cuda:0'), angle_fog : tensor([[1.8197]], device='cuda:0'), diff: 0.9312
image name [18075], angle_normal : tensor([[1.5965]], device='cuda:0'), angle_fog : tensor([[-0.0255]], device='cuda:0'), diff: 1.6220
image name [9108], angle_normal : tensor([[0.3543]], device='cuda:0'), angle_fog : tensor([[2.7273]], device='cuda:0'), diff: 2.3730
image name [11421], angle_normal : tensor([[2.3466]], device='cuda:0'), angle_fog : tensor([[2.9646]], device='cuda:0'), diff: 0.6180
image name [26520], angle_normal : tensor([[1.9593]], device='cuda:0'), angle_fog : tensor([[2.9991]], device='cuda:0'), diff: 1.0398
image name [33421], angle_normal : tensor([[-0.4696]], device='cuda:0'), angle_fog : tensor([[2.9403]], device='cuda:0'), diff: 3.4099
image name [21488], angle_normal : tensor([[0.6863]], device='cuda:0'), angle_fog : tensor([[2.5391]], device='cuda:0'), diff: 1.8528
image name [20256], angle_normal : tensor([[0.8728]], device='cuda:0'), angle_fog : tensor([[2.0271]], device='cuda:0'), diff: 1.1543
image name [17816], angle_normal : tensor([[0.7604]], device='cuda:0'), angle_fog : tensor([[0.0554]], device='cuda:0'), diff: 0.7050
image name [6776], angle_normal : tensor([[0.2618]], device='cuda:0'), angle_fog : tensor([[2.2114]], device='cuda:0'), diff: 1.9496
image name [6592], angle_normal : tensor([[0.4068]], device='cuda:0'), angle_fog : tensor([[-0.3921]], device='cuda:0'), diff: 0.7989
image name [670], angle_normal : tensor([[1.5965]], device='cuda:0'), angle_fog : tensor([[2.9303]], device='cuda:0'), diff: 1.3338
image name [17935], angle_normal : tensor([[0.8701]], device='cuda:0'), angle_fog : tensor([[0.3099]], device='cuda:0'), diff: 0.5602
image name [28595], angle_normal : tensor([[0.5388]], device='cuda:0'), angle_fog : tensor([[0.0367]], device='cuda:0'), diff: 0.5022
image name [36176], angle_normal : tensor([[2.0845]], device='cuda:0'), angle_fog : tensor([[2.9442]], device='cuda:0'), diff: 0.8596
image name [32190], angle_normal : tensor([[0.1148]], device='cuda:0'), angle_fog : tensor([[2.8804]], device='cuda:0'), diff: 2.7656
image name [2651], angle_normal : tensor([[0.0132]], device='cuda:0'), angle_fog : tensor([[-0.5611]], device='cuda:0'), diff: 0.5742
image name [32082], angle_normal : tensor([[-0.5599]], device='cuda:0'), angle_fog : tensor([[2.9064]], device='cuda:0'), diff: 3.4664
image name [41910], angle_normal : tensor([[-1.6643]], device='cuda:0'), angle_fog : tensor([[2.8650]], device='cuda:0'), diff: 4.5293
image name [16822], angle_normal : tensor([[1.0715]], device='cuda:0'), angle_fog : tensor([[0.4686]], device='cuda:0'), diff: 0.6029
image name [22795], angle_normal : tensor([[0.6312]], device='cuda:0'), angle_fog : tensor([[1.9258]], device='cuda:0'), diff: 1.2946
image name [35085], angle_normal : tensor([[-1.1937]], device='cuda:0'), angle_fog : tensor([[-0.6255]], device='cuda:0'), diff: 0.5682
image name [41879], angle_normal : tensor([[0.4476]], device='cuda:0'), angle_fog : tensor([[2.9998]], device='cuda:0'), diff: 2.5522
image name [8396], angle_normal : tensor([[1.5352]], device='cuda:0'), angle_fog : tensor([[2.9228]], device='cuda:0'), diff: 1.3876
image name [20634], angle_normal : tensor([[-0.0994]], device='cuda:0'), angle_fog : tensor([[2.2506]], device='cuda:0'), diff: 2.3500
image name [2826], angle_normal : tensor([[2.4112]], device='cuda:0'), angle_fog : tensor([[-0.1247]], device='cuda:0'), diff: 2.5359
image name [41565], angle_normal : tensor([[-0.1541]], device='cuda:0'), angle_fog : tensor([[2.0456]], device='cuda:0'), diff: 2.1997
image name [16044], angle_normal : tensor([[2.7937]], device='cuda:0'), angle_fog : tensor([[1.1796]], device='cuda:0'), diff: 1.6140
image name [17308], angle_normal : tensor([[0.8293]], device='cuda:0'), angle_fog : tensor([[-0.2731]], device='cuda:0'), diff: 1.1024
image name [11951], angle_normal : tensor([[2.6931]], device='cuda:0'), angle_fog : tensor([[2.0888]], device='cuda:0'), diff: 0.6043
image name [41413], angle_normal : tensor([[-0.7815]], device='cuda:0'), angle_fog : tensor([[2.6497]], device='cuda:0'), diff: 3.4312
image name [27666], angle_normal : tensor([[0.1404]], device='cuda:0'), angle_fog : tensor([[2.1776]], device='cuda:0'), diff: 2.0372
image name [36435], angle_normal : tensor([[1.3217]], device='cuda:0'), angle_fog : tensor([[2.1483]], device='cuda:0'), diff: 0.8265
image name [38239], angle_normal : tensor([[-0.0201]], device='cuda:0'), angle_fog : tensor([[0.5111]], device='cuda:0'), diff: 0.5312
image name [28649], angle_normal : tensor([[1.9873]], device='cuda:0'), angle_fog : tensor([[0.4023]], device='cuda:0'), diff: 1.5850
image name [20991], angle_normal : tensor([[0.9507]], device='cuda:0'), angle_fog : tensor([[2.9803]], device='cuda:0'), diff: 2.0296
image name [29718], angle_normal : tensor([[0.4399]], device='cuda:0'), angle_fog : tensor([[3.0044]], device='cuda:0'), diff: 2.5645
image name [20742], angle_normal : tensor([[1.6693]], device='cuda:0'), angle_fog : tensor([[0.5408]], device='cuda:0'), diff: 1.1285
image name [4378], angle_normal : tensor([[0.5545]], device='cuda:0'), angle_fog : tensor([[2.6331]], device='cuda:0'), diff: 2.0786
image name [41121], angle_normal : tensor([[1.2591]], device='cuda:0'), angle_fog : tensor([[2.0809]], device='cuda:0'), diff: 0.8218
image name [38617], angle_normal : tensor([[0.0570]], device='cuda:0'), angle_fog : tensor([[2.8188]], device='cuda:0'), diff: 2.7618
image name [25095], angle_normal : tensor([[2.3054]], device='cuda:0'), angle_fog : tensor([[0.7998]], device='cuda:0'), diff: 1.5055
image name [26337], angle_normal : tensor([[2.6523]], device='cuda:0'), angle_fog : tensor([[0.7524]], device='cuda:0'), diff: 1.8998
image name [37104], angle_normal : tensor([[1.2551]], device='cuda:0'), angle_fog : tensor([[-0.0434]], device='cuda:0'), diff: 1.2985
image name [31737], angle_normal : tensor([[0.8110]], device='cuda:0'), angle_fog : tensor([[0.2493]], device='cuda:0'), diff: 0.5617
image name [22535], angle_normal : tensor([[0.7589]], device='cuda:0'), angle_fog : tensor([[0.1666]], device='cuda:0'), diff: 0.5924
image name [5803], angle_normal : tensor([[-0.7527]], device='cuda:0'), angle_fog : tensor([[3.0097]], device='cuda:0'), diff: 3.7623
image name [18420], angle_normal : tensor([[0.7183]], device='cuda:0'), angle_fog : tensor([[-0.1666]], device='cuda:0'), diff: 0.8849
image name [29329], angle_normal : tensor([[-0.1533]], device='cuda:0'), angle_fog : tensor([[1.7325]], device='cuda:0'), diff: 1.8858
image name [41468], angle_normal : tensor([[-1.3954]], device='cuda:0'), angle_fog : tensor([[3.0061]], device='cuda:0'), diff: 4.4014
image name [8990], angle_normal : tensor([[0.0837]], device='cuda:0'), angle_fog : tensor([[0.8647]], device='cuda:0'), diff: 0.7810
image name [15245], angle_normal : tensor([[0.7799]], device='cuda:0'), angle_fog : tensor([[2.6857]], device='cuda:0'), diff: 1.9058
image name [21541], angle_normal : tensor([[1.9930]], device='cuda:0'), angle_fog : tensor([[2.8898]], device='cuda:0'), diff: 0.8968
image name [34145], angle_normal : tensor([[0.0069]], device='cuda:0'), angle_fog : tensor([[1.6980]], device='cuda:0'), diff: 1.6912
image name [31164], angle_normal : tensor([[-1.1787]], device='cuda:0'), angle_fog : tensor([[1.9241]], device='cuda:0'), diff: 3.1028
image name [3838], angle_normal : tensor([[0.9621]], device='cuda:0'), angle_fog : tensor([[2.9363]], device='cuda:0'), diff: 1.9742
image name [41749], angle_normal : tensor([[-1.5011]], device='cuda:0'), angle_fog : tensor([[2.9726]], device='cuda:0'), diff: 4.4737
image name [34220], angle_normal : tensor([[0.7794]], device='cuda:0'), angle_fog : tensor([[-0.0228]], device='cuda:0'), diff: 0.8022
image name [43022], angle_normal : tensor([[0.6579]], device='cuda:0'), angle_fog : tensor([[-0.0282]], device='cuda:0'), diff: 0.6861
image name [23659], angle_normal : tensor([[1.3214]], device='cuda:0'), angle_fog : tensor([[2.0000]], device='cuda:0'), diff: 0.6786
image name [40711], angle_normal : tensor([[2.0060]], device='cuda:0'), angle_fog : tensor([[2.9311]], device='cuda:0'), diff: 0.9251
image name [35906], angle_normal : tensor([[-0.5519]], device='cuda:0'), angle_fog : tensor([[2.9374]], device='cuda:0'), diff: 3.4893
image name [4594], angle_normal : tensor([[1.9172]], device='cuda:0'), angle_fog : tensor([[2.4473]], device='cuda:0'), diff: 0.5301
image name [35917], angle_normal : tensor([[1.7750]], device='cuda:0'), angle_fog : tensor([[2.9764]], device='cuda:0'), diff: 1.2014
image name [31272], angle_normal : tensor([[-0.9695]], device='cuda:0'), angle_fog : tensor([[-0.2280]], device='cuda:0'), diff: 0.7416
image name [21725], angle_normal : tensor([[1.2552]], device='cuda:0'), angle_fog : tensor([[2.8618]], device='cuda:0'), diff: 1.6066
image name [31229], angle_normal : tensor([[-0.2586]], device='cuda:0'), angle_fog : tensor([[2.1722]], device='cuda:0'), diff: 2.4308
image name [17687], angle_normal : tensor([[1.4908]], device='cuda:0'), angle_fog : tensor([[0.3130]], device='cuda:0'), diff: 1.1778
image name [13096], angle_normal : tensor([[0.5663]], device='cuda:0'), angle_fog : tensor([[-0.1971]], device='cuda:0'), diff: 0.7634
image name [6873], angle_normal : tensor([[1.6466]], device='cuda:0'), angle_fog : tensor([[2.4855]], device='cuda:0'), diff: 0.8389
image name [41587], angle_normal : tensor([[-0.2711]], device='cuda:0'), angle_fog : tensor([[2.7843]], device='cuda:0'), diff: 3.0555
image name [3959], angle_normal : tensor([[0.0778]], device='cuda:0'), angle_fog : tensor([[2.8923]], device='cuda:0'), diff: 2.8145
image name [39070], angle_normal : tensor([[1.1007]], device='cuda:0'), angle_fog : tensor([[-0.4743]], device='cuda:0'), diff: 1.5750
image name [18486], angle_normal : tensor([[2.4893]], device='cuda:0'), angle_fog : tensor([[-0.3599]], device='cuda:0'), diff: 2.8492
image name [39579], angle_normal : tensor([[1.3369]], device='cuda:0'), angle_fog : tensor([[0.0153]], device='cuda:0'), diff: 1.3215
image name [43930], angle_normal : tensor([[2.2468]], device='cuda:0'), angle_fog : tensor([[2.8542]], device='cuda:0'), diff: 0.6074
image name [17287], angle_normal : tensor([[0.8458]], device='cuda:0'), angle_fog : tensor([[0.0865]], device='cuda:0'), diff: 0.7592
image name [16109], angle_normal : tensor([[1.8266]], device='cuda:0'), angle_fog : tensor([[2.8333]], device='cuda:0'), diff: 1.0067
image name [36792], angle_normal : tensor([[0.1118]], device='cuda:0'), angle_fog : tensor([[2.9877]], device='cuda:0'), diff: 2.8759
image name [27644], angle_normal : tensor([[0.7325]], device='cuda:0'), angle_fog : tensor([[1.9068]], device='cuda:0'), diff: 1.1744
image name [17805], angle_normal : tensor([[1.1741]], device='cuda:0'), angle_fog : tensor([[0.0926]], device='cuda:0'), diff: 1.0815
image name [43499], angle_normal : tensor([[2.8488]], device='cuda:0'), angle_fog : tensor([[1.8699]], device='cuda:0'), diff: 0.9788
image name [3515], angle_normal : tensor([[1.1634]], device='cuda:0'), angle_fog : tensor([[2.9687]], device='cuda:0'), diff: 1.8053
image name [20515], angle_normal : tensor([[0.8441]], device='cuda:0'), angle_fog : tensor([[2.4981]], device='cuda:0'), diff: 1.6540
image name [3056], angle_normal : tensor([[2.4012]], device='cuda:0'), angle_fog : tensor([[2.9864]], device='cuda:0'), diff: 0.5852
image name [26931], angle_normal : tensor([[-0.0106]], device='cuda:0'), angle_fog : tensor([[-0.7607]], device='cuda:0'), diff: 0.7501
image name [3070], angle_normal : tensor([[2.3497]], device='cuda:0'), angle_fog : tensor([[3.0159]], device='cuda:0'), diff: 0.6661
image name [19588], angle_normal : tensor([[2.6676]], device='cuda:0'), angle_fog : tensor([[0.0315]], device='cuda:0'), diff: 2.6361
image name [10600], angle_normal : tensor([[0.0814]], device='cuda:0'), angle_fog : tensor([[1.1482]], device='cuda:0'), diff: 1.0668
image name [37137], angle_normal : tensor([[2.4784]], device='cuda:0'), angle_fog : tensor([[0.1790]], device='cuda:0'), diff: 2.2993
image name [25235], angle_normal : tensor([[1.9876]], device='cuda:0'), angle_fog : tensor([[0.6859]], device='cuda:0'), diff: 1.3016
image name [24609], angle_normal : tensor([[0.3387]], device='cuda:0'), angle_fog : tensor([[2.6175]], device='cuda:0'), diff: 2.2788
image name [16303], angle_normal : tensor([[1.3893]], device='cuda:0'), angle_fog : tensor([[2.8100]], device='cuda:0'), diff: 1.4207
image name [31207], angle_normal : tensor([[-0.8920]], device='cuda:0'), angle_fog : tensor([[2.9153]], device='cuda:0'), diff: 3.8073
image name [29750], angle_normal : tensor([[0.3331]], device='cuda:0'), angle_fog : tensor([[3.0160]], device='cuda:0'), diff: 2.6828
image name [38639], angle_normal : tensor([[0.0568]], device='cuda:0'), angle_fog : tensor([[2.1865]], device='cuda:0'), diff: 2.1297
image name [17492], angle_normal : tensor([[2.5674]], device='cuda:0'), angle_fog : tensor([[0.1689]], device='cuda:0'), diff: 2.3984
image name [19036], angle_normal : tensor([[0.5544]], device='cuda:0'), angle_fog : tensor([[1.9148]], device='cuda:0'), diff: 1.3605
image name [38909], angle_normal : tensor([[0.1364]], device='cuda:0'), angle_fog : tensor([[2.8362]], device='cuda:0'), diff: 2.6998
image name [17827], angle_normal : tensor([[1.1866]], device='cuda:0'), angle_fog : tensor([[0.1853]], device='cuda:0'), diff: 1.0013
image name [14424], angle_normal : tensor([[0.5629]], device='cuda:0'), angle_fog : tensor([[-0.0125]], device='cuda:0'), diff: 0.5754
image name [15526], angle_normal : tensor([[1.8708]], device='cuda:0'), angle_fog : tensor([[0.1243]], device='cuda:0'), diff: 1.7465
image name [1126], angle_normal : tensor([[0.6057]], device='cuda:0'), angle_fog : tensor([[-0.1005]], device='cuda:0'), diff: 0.7061
image name [18561], angle_normal : tensor([[2.6804]], device='cuda:0'), angle_fog : tensor([[-0.1756]], device='cuda:0'), diff: 2.8560
image name [22124], angle_normal : tensor([[0.7319]], device='cuda:0'), angle_fog : tensor([[0.1182]], device='cuda:0'), diff: 0.6137
image name [31564], angle_normal : tensor([[2.0708]], device='cuda:0'), angle_fog : tensor([[2.9798]], device='cuda:0'), diff: 0.9090
image name [29675], angle_normal : tensor([[-0.4183]], device='cuda:0'), angle_fog : tensor([[3.0227]], device='cuda:0'), diff: 3.4409
image name [30116], angle_normal : tensor([[-1.1451]], device='cuda:0'), angle_fog : tensor([[-0.5602]], device='cuda:0'), diff: 0.5849
image name [30549], angle_normal : tensor([[-0.5227]], device='cuda:0'), angle_fog : tensor([[2.6320]], device='cuda:0'), diff: 3.1547
image name [42861], angle_normal : tensor([[-0.4831]], device='cuda:0'), angle_fog : tensor([[0.0554]], device='cuda:0'), diff: 0.5384
image name [28465], angle_normal : tensor([[0.4825]], device='cuda:0'), angle_fog : tensor([[-0.1205]], device='cuda:0'), diff: 0.6030
image name [40700], angle_normal : tensor([[2.1585]], device='cuda:0'), angle_fog : tensor([[2.9257]], device='cuda:0'), diff: 0.7672
image name [1302], angle_normal : tensor([[2.3091]], device='cuda:0'), angle_fog : tensor([[3.0223]], device='cuda:0'), diff: 0.7132
image name [18691], angle_normal : tensor([[1.0433]], device='cuda:0'), angle_fog : tensor([[-0.0084]], device='cuda:0'), diff: 1.0517
image name [11627], angle_normal : tensor([[0.2023]], device='cuda:0'), angle_fog : tensor([[1.4926]], device='cuda:0'), diff: 1.2903
image name [27125], angle_normal : tensor([[0.6123]], device='cuda:0'), angle_fog : tensor([[0.0823]], device='cuda:0'), diff: 0.5300
image name [38985], angle_normal : tensor([[-0.0012]], device='cuda:0'), angle_fog : tensor([[2.8312]], device='cuda:0'), diff: 2.8324
image name [9810], angle_normal : tensor([[2.1358]], device='cuda:0'), angle_fog : tensor([[1.0774]], device='cuda:0'), diff: 1.0584
image name [939], angle_normal : tensor([[1.9177]], device='cuda:0'), angle_fog : tensor([[-0.1326]], device='cuda:0'), diff: 2.0503
image name [37083], angle_normal : tensor([[2.3148]], device='cuda:0'), angle_fog : tensor([[0.9577]], device='cuda:0'), diff: 1.3571
image name [3650], angle_normal : tensor([[1.0576]], device='cuda:0'), angle_fog : tensor([[3.0031]], device='cuda:0'), diff: 1.9456
image name [37201], angle_normal : tensor([[0.2098]], device='cuda:0'), angle_fog : tensor([[-0.4683]], device='cuda:0'), diff: 0.6782
image name [2503], angle_normal : tensor([[1.9279]], device='cuda:0'), angle_fog : tensor([[2.6905]], device='cuda:0'), diff: 0.7625
image name [40960], angle_normal : tensor([[1.3017]], device='cuda:0'), angle_fog : tensor([[2.0818]], device='cuda:0'), diff: 0.7800
image name [5111], angle_normal : tensor([[0.2063]], device='cuda:0'), angle_fog : tensor([[0.9098]], device='cuda:0'), diff: 0.7034
image name [33865], angle_normal : tensor([[0.5557]], device='cuda:0'), angle_fog : tensor([[2.9720]], device='cuda:0'), diff: 2.4164
image name [14640], angle_normal : tensor([[0.8974]], device='cuda:0'), angle_fog : tensor([[0.2617]], device='cuda:0'), diff: 0.6358
image name [41792], angle_normal : tensor([[1.2153]], device='cuda:0'), angle_fog : tensor([[2.6729]], device='cuda:0'), diff: 1.4575
image name [30192], angle_normal : tensor([[0.3626]], device='cuda:0'), angle_fog : tensor([[-0.4517]], device='cuda:0'), diff: 0.8143
image name [17276], angle_normal : tensor([[0.8902]], device='cuda:0'), angle_fog : tensor([[0.1973]], device='cuda:0'), diff: 0.6929
image name [40896], angle_normal : tensor([[-1.2061]], device='cuda:0'), angle_fog : tensor([[2.7061]], device='cuda:0'), diff: 3.9122
image name [32039], angle_normal : tensor([[0.2664]], device='cuda:0'), angle_fog : tensor([[2.9995]], device='cuda:0'), diff: 2.7331
image name [34901], angle_normal : tensor([[0.3214]], device='cuda:0'), angle_fog : tensor([[2.5089]], device='cuda:0'), diff: 2.1875
image name [6213], angle_normal : tensor([[0.2054]], device='cuda:0'), angle_fog : tensor([[2.3443]], device='cuda:0'), diff: 2.1389
image name [29231], angle_normal : tensor([[0.0640]], device='cuda:0'), angle_fog : tensor([[2.3667]], device='cuda:0'), diff: 2.3026
image name [18572], angle_normal : tensor([[2.7606]], device='cuda:0'), angle_fog : tensor([[0.8608]], device='cuda:0'), diff: 1.8999
image name [3340], angle_normal : tensor([[1.0795]], device='cuda:0'), angle_fog : tensor([[2.9813]], device='cuda:0'), diff: 1.9018
image name [8017], angle_normal : tensor([[-0.3791]], device='cuda:0'), angle_fog : tensor([[-0.9222]], device='cuda:0'), diff: 0.5431
image name [41392], angle_normal : tensor([[0.0589]], device='cuda:0'), angle_fog : tensor([[2.8566]], device='cuda:0'), diff: 2.7977
image name [32169], angle_normal : tensor([[0.1302]], device='cuda:0'), angle_fog : tensor([[-0.7639]], device='cuda:0'), diff: 0.8940
image name [34372], angle_normal : tensor([[-0.5603]], device='cuda:0'), angle_fog : tensor([[0.2585]], device='cuda:0'), diff: 0.8188
image name [23420], angle_normal : tensor([[1.5761]], device='cuda:0'), angle_fog : tensor([[2.9524]], device='cuda:0'), diff: 1.3763
image name [23020], angle_normal : tensor([[0.7902]], device='cuda:0'), angle_fog : tensor([[2.8809]], device='cuda:0'), diff: 2.0907
image name [10385], angle_normal : tensor([[0.1225]], device='cuda:0'), angle_fog : tensor([[2.3944]], device='cuda:0'), diff: 2.2719
image name [10439], angle_normal : tensor([[0.1845]], device='cuda:0'), angle_fog : tensor([[2.5695]], device='cuda:0'), diff: 2.3850
image name [4312], angle_normal : tensor([[-1.7128]], device='cuda:0'), angle_fog : tensor([[-0.6028]], device='cuda:0'), diff: 1.1100
image name [24500], angle_normal : tensor([[2.0248]], device='cuda:0'), angle_fog : tensor([[3.0173]], device='cuda:0'), diff: 0.9925
image name [34134], angle_normal : tensor([[-0.1627]], device='cuda:0'), angle_fog : tensor([[2.8560]], device='cuda:0'), diff: 3.0188
image name [11962], angle_normal : tensor([[2.7652]], device='cuda:0'), angle_fog : tensor([[2.2043]], device='cuda:0'), diff: 0.5609
image name [16422], angle_normal : tensor([[1.3771]], device='cuda:0'), angle_fog : tensor([[0.5109]], device='cuda:0'), diff: 0.8662
image name [16758], angle_normal : tensor([[2.4511]], device='cuda:0'), angle_fog : tensor([[0.5119]], device='cuda:0'), diff: 1.9393
image name [31931], angle_normal : tensor([[-0.0202]], device='cuda:0'), angle_fog : tensor([[2.9367]], device='cuda:0'), diff: 2.9568
image name [20320], angle_normal : tensor([[0.9306]], device='cuda:0'), angle_fog : tensor([[0.2607]], device='cuda:0'), diff: 0.6700
image name [31467], angle_normal : tensor([[0.5033]], device='cuda:0'), angle_fog : tensor([[-0.9188]], device='cuda:0'), diff: 1.4221
image name [36338], angle_normal : tensor([[-0.6213]], device='cuda:0'), angle_fog : tensor([[3.0125]], device='cuda:0'), diff: 3.6337
image name [34480], angle_normal : tensor([[1.2874]], device='cuda:0'), angle_fog : tensor([[2.8094]], device='cuda:0'), diff: 1.5220
image name [3447], angle_normal : tensor([[1.0740]], device='cuda:0'), angle_fog : tensor([[2.9249]], device='cuda:0'), diff: 1.8509
image name [35733], angle_normal : tensor([[2.9736]], device='cuda:0'), angle_fog : tensor([[2.1018]], device='cuda:0'), diff: 0.8718
image name [25138], angle_normal : tensor([[1.4259]], device='cuda:0'), angle_fog : tensor([[0.8082]], device='cuda:0'), diff: 0.6178
image name [39351], angle_normal : tensor([[-0.1264]], device='cuda:0'), angle_fog : tensor([[2.4238]], device='cuda:0'), diff: 2.5502
image name [27688], angle_normal : tensor([[0.5315]], device='cuda:0'), angle_fog : tensor([[2.9784]], device='cuda:0'), diff: 2.4470
image name [10277], angle_normal : tensor([[0.1404]], device='cuda:0'), angle_fog : tensor([[2.5724]], device='cuda:0'), diff: 2.4320
image name [33476], angle_normal : tensor([[-1.5312]], device='cuda:0'), angle_fog : tensor([[2.9868]], device='cuda:0'), diff: 4.5180
image name [2813], angle_normal : tensor([[2.5500]], device='cuda:0'), angle_fog : tensor([[-0.1751]], device='cuda:0'), diff: 2.7251
image name [17070], angle_normal : tensor([[1.0949]], device='cuda:0'), angle_fog : tensor([[0.3650]], device='cuda:0'), diff: 0.7299
image name [45204], angle_normal : tensor([[0.7968]], device='cuda:0'), angle_fog : tensor([[2.9848]], device='cuda:0'), diff: 2.1880
image name [40722], angle_normal : tensor([[0.6429]], device='cuda:0'), angle_fog : tensor([[2.9498]], device='cuda:0'), diff: 2.3068
image name [13030], angle_normal : tensor([[1.5370]], device='cuda:0'), angle_fog : tensor([[-0.7036]], device='cuda:0'), diff: 2.2406
image name [669], angle_normal : tensor([[1.3182]], device='cuda:0'), angle_fog : tensor([[2.9115]], device='cuda:0'), diff: 1.5933
image name [1193], angle_normal : tensor([[1.2088]], device='cuda:0'), angle_fog : tensor([[-0.3430]], device='cuda:0'), diff: 1.5518
image name [8493], angle_normal : tensor([[-0.0471]], device='cuda:0'), angle_fog : tensor([[1.5546]], device='cuda:0'), diff: 1.6017
image name [18464], angle_normal : tensor([[2.2575]], device='cuda:0'), angle_fog : tensor([[-0.2524]], device='cuda:0'), diff: 2.5098
