image name [10558_resized], angle_normal : tensor([[0.0226]], device='cuda:0'), angle_fog : tensor([[2.2602]], device='cuda:0'), diff: 2.2376
image name [34415_resized], angle_normal : tensor([[0.1168]], device='cuda:0'), angle_fog : tensor([[0.1102]], device='cuda:0'), diff: 0.0065
image name [34501_resized], angle_normal : tensor([[0.3458]], device='cuda:0'), angle_fog : tensor([[2.9948]], device='cuda:0'), diff: 2.6489
image name [34750_resized], angle_normal : tensor([[-0.1063]], device='cuda:0'), angle_fog : tensor([[2.9146]], device='cuda:0'), diff: 3.0209
image name [34891_resized], angle_normal : tensor([[0.0612]], device='cuda:0'), angle_fog : tensor([[0.0660]], device='cuda:0'), diff: 0.0048
image name [35355_resized], angle_normal : tensor([[-0.0866]], device='cuda:0'), angle_fog : tensor([[2.7358]], device='cuda:0'), diff: 2.8224
image name [35366_resized], angle_normal : tensor([[0.1531]], device='cuda:0'), angle_fog : tensor([[2.1577]], device='cuda:0'), diff: 2.0046
image name [35452_resized], angle_normal : tensor([[0.3441]], device='cuda:0'), angle_fog : tensor([[2.9502]], device='cuda:0'), diff: 2.6061
image name [35506_resized], angle_normal : tensor([[-0.2956]], device='cuda:0'), angle_fog : tensor([[0.3615]], device='cuda:0'), diff: 0.6571
image name [35733_resized], angle_normal : tensor([[-0.8028]], device='cuda:0'), angle_fog : tensor([[2.8571]], device='cuda:0'), diff: 3.6599
image name [36024_resized], angle_normal : tensor([[-0.0005]], device='cuda:0'), angle_fog : tensor([[0.0644]], device='cuda:0'), diff: 0.0648
image name [36110_resized], angle_normal : tensor([[-0.1585]], device='cuda:0'), angle_fog : tensor([[2.9339]], device='cuda:0'), diff: 3.0924
image name [3649_resized], angle_normal : tensor([[0.0405]], device='cuda:0'), angle_fog : tensor([[2.8447]], device='cuda:0'), diff: 2.8041
image name [3689_resized], angle_normal : tensor([[0.0407]], device='cuda:0'), angle_fog : tensor([[2.8628]], device='cuda:0'), diff: 2.8221
image name [36943_resized], angle_normal : tensor([[-0.1948]], device='cuda:0'), angle_fog : tensor([[-0.2342]], device='cuda:0'), diff: 0.0394
image name [37212_resized], angle_normal : tensor([[-1.0143]], device='cuda:0'), angle_fog : tensor([[-0.8008]], device='cuda:0'), diff: 0.2135
image name [37245_resized], angle_normal : tensor([[-0.3064]], device='cuda:0'), angle_fog : tensor([[2.2139]], device='cuda:0'), diff: 2.5203
image name [37526_resized], angle_normal : tensor([[0.0245]], device='cuda:0'), angle_fog : tensor([[0.0047]], device='cuda:0'), diff: 0.0198
image name [3757_resized], angle_normal : tensor([[0.0417]], device='cuda:0'), angle_fog : tensor([[2.8426]], device='cuda:0'), diff: 2.8009
image name [37612_resized], angle_normal : tensor([[-0.0177]], device='cuda:0'), angle_fog : tensor([[-2.1103]], device='cuda:0'), diff: 2.0926
image name [38282_resized], angle_normal : tensor([[0.5042]], device='cuda:0'), angle_fog : tensor([[2.8582]], device='cuda:0'), diff: 2.3540
image name [38293_resized], angle_normal : tensor([[0.7742]], device='cuda:0'), angle_fog : tensor([[2.9280]], device='cuda:0'), diff: 2.1538
image name [38433_resized], angle_normal : tensor([[0.8735]], device='cuda:0'), angle_fog : tensor([[-2.2943]], device='cuda:0'), diff: 3.1678
image name [38714_resized], angle_normal : tensor([[0.1363]], device='cuda:0'), angle_fog : tensor([[2.7872]], device='cuda:0'), diff: 2.6509
image name [38769_resized], angle_normal : tensor([[0.1364]], device='cuda:0'), angle_fog : tensor([[2.8383]], device='cuda:0'), diff: 2.7019
image name [39081_resized], angle_normal : tensor([[-1.8192]], device='cuda:0'), angle_fog : tensor([[-1.7302]], device='cuda:0'), diff: 0.0890
image name [39135_resized], angle_normal : tensor([[-0.8413]], device='cuda:0'), angle_fog : tensor([[-0.7564]], device='cuda:0'), diff: 0.0848
image name [39232_resized], angle_normal : tensor([[0.0469]], device='cuda:0'), angle_fog : tensor([[2.5104]], device='cuda:0'), diff: 2.4635
image name [39513_resized], angle_normal : tensor([[0.0917]], device='cuda:0'), angle_fog : tensor([[0.2319]], device='cuda:0'), diff: 0.1402
image name [39557_resized], angle_normal : tensor([[0.0255]], device='cuda:0'), angle_fog : tensor([[1.0173]], device='cuda:0'), diff: 0.9918
image name [39751_resized], angle_normal : tensor([[0.0061]], device='cuda:0'), angle_fog : tensor([[0.0114]], device='cuda:0'), diff: 0.0052
image name [40096_resized], angle_normal : tensor([[-0.0165]], device='cuda:0'), angle_fog : tensor([[-1.9699]], device='cuda:0'), diff: 1.9534
image name [40258_resized], angle_normal : tensor([[0.0436]], device='cuda:0'), angle_fog : tensor([[-0.0318]], device='cuda:0'), diff: 0.0754
image name [40755_resized], angle_normal : tensor([[-0.0095]], device='cuda:0'), angle_fog : tensor([[2.9016]], device='cuda:0'), diff: 2.9111
image name [41046_resized], angle_normal : tensor([[-0.0209]], device='cuda:0'), angle_fog : tensor([[2.9099]], device='cuda:0'), diff: 2.9308
image name [41132_resized], angle_normal : tensor([[0.0440]], device='cuda:0'), angle_fog : tensor([[-0.0252]], device='cuda:0'), diff: 0.0691
image name [41338_resized], angle_normal : tensor([[-0.1311]], device='cuda:0'), angle_fog : tensor([[0.9029]], device='cuda:0'), diff: 1.0341
image name [41565_resized], angle_normal : tensor([[0.0033]], device='cuda:0'), angle_fog : tensor([[2.3256]], device='cuda:0'), diff: 2.3223
image name [41608_resized], angle_normal : tensor([[0.0153]], device='cuda:0'), angle_fog : tensor([[0.2038]], device='cuda:0'), diff: 0.1885
image name [42353_resized], angle_normal : tensor([[-0.0336]], device='cuda:0'), angle_fog : tensor([[1.8008]], device='cuda:0'), diff: 1.8344
image name [42450_resized], angle_normal : tensor([[-0.1386]], device='cuda:0'), angle_fog : tensor([[2.8812]], device='cuda:0'), diff: 3.0198
image name [42580_resized], angle_normal : tensor([[0.1691]], device='cuda:0'), angle_fog : tensor([[2.6553]], device='cuda:0'), diff: 2.4862
image name [42720_resized], angle_normal : tensor([[0.3620]], device='cuda:0'), angle_fog : tensor([[2.9040]], device='cuda:0'), diff: 2.5420
image name [42797_resized], angle_normal : tensor([[0.1414]], device='cuda:0'), angle_fog : tensor([[-0.2625]], device='cuda:0'), diff: 0.4039
image name [42829_resized], angle_normal : tensor([[0.0388]], device='cuda:0'), angle_fog : tensor([[-2.2314]], device='cuda:0'), diff: 2.2702
image name [43228_resized], angle_normal : tensor([[-0.0839]], device='cuda:0'), angle_fog : tensor([[-1.3192]], device='cuda:0'), diff: 1.2353
image name [43347_resized], angle_normal : tensor([[0.1349]], device='cuda:0'), angle_fog : tensor([[2.8981]], device='cuda:0'), diff: 2.7632
image name [43477_resized], angle_normal : tensor([[0.0665]], device='cuda:0'), angle_fog : tensor([[2.6270]], device='cuda:0'), diff: 2.5605
image name [43899_resized], angle_normal : tensor([[-0.2761]], device='cuda:0'), angle_fog : tensor([[0.5117]], device='cuda:0'), diff: 0.7878
image name [44427_resized], angle_normal : tensor([[0.1554]], device='cuda:0'), angle_fog : tensor([[2.8779]], device='cuda:0'), diff: 2.7224
image name [44502_resized], angle_normal : tensor([[0.1702]], device='cuda:0'), angle_fog : tensor([[2.8399]], device='cuda:0'), diff: 2.6696
image name [44535_resized], angle_normal : tensor([[0.1696]], device='cuda:0'), angle_fog : tensor([[2.8164]], device='cuda:0'), diff: 2.6469
image name [4514_resized], angle_normal : tensor([[0.0109]], device='cuda:0'), angle_fog : tensor([[2.6489]], device='cuda:0'), diff: 2.6380
image name [45172_resized], angle_normal : tensor([[0.2091]], device='cuda:0'), angle_fog : tensor([[2.7758]], device='cuda:0'), diff: 2.5667
image name [45389_resized], angle_normal : tensor([[0.1270]], device='cuda:0'), angle_fog : tensor([[2.2478]], device='cuda:0'), diff: 2.1207
image name [45420_resized], angle_normal : tensor([[0.0841]], device='cuda:0'), angle_fog : tensor([[2.4814]], device='cuda:0'), diff: 2.3974
image name [45518_resized], angle_normal : tensor([[-0.3232]], device='cuda:0'), angle_fog : tensor([[2.0962]], device='cuda:0'), diff: 2.4195
image name [45529_resized], angle_normal : tensor([[-0.2712]], device='cuda:0'), angle_fog : tensor([[-1.2163]], device='cuda:0'), diff: 0.9451
image name [4594_resized], angle_normal : tensor([[0.2445]], device='cuda:0'), angle_fog : tensor([[2.3221]], device='cuda:0'), diff: 2.0776
image name [4659_resized], angle_normal : tensor([[0.1521]], device='cuda:0'), angle_fog : tensor([[0.0065]], device='cuda:0'), diff: 0.1456
image name [4767_resized], angle_normal : tensor([[0.0439]], device='cuda:0'), angle_fog : tensor([[2.3167]], device='cuda:0'), diff: 2.2729
image name [4820_resized], angle_normal : tensor([[0.0535]], device='cuda:0'), angle_fog : tensor([[2.4607]], device='cuda:0'), diff: 2.4073
image name [548_resized], angle_normal : tensor([[-1.8106]], device='cuda:0'), angle_fog : tensor([[0.1096]], device='cuda:0'), diff: 1.9202
image name [5500_resized], angle_normal : tensor([[-0.0979]], device='cuda:0'), angle_fog : tensor([[2.5080]], device='cuda:0'), diff: 2.6059
image name [5674_resized], angle_normal : tensor([[-0.1321]], device='cuda:0'), angle_fog : tensor([[1.4996]], device='cuda:0'), diff: 1.6317
image name [603_resized], angle_normal : tensor([[-0.3281]], device='cuda:0'), angle_fog : tensor([[-0.1920]], device='cuda:0'), diff: 0.1361
image name [6084_resized], angle_normal : tensor([[-0.2637]], device='cuda:0'), angle_fog : tensor([[-0.4811]], device='cuda:0'), diff: 0.2174
image name [6743_resized], angle_normal : tensor([[-0.0113]], device='cuda:0'), angle_fog : tensor([[2.8643]], device='cuda:0'), diff: 2.8756
image name [6895_resized], angle_normal : tensor([[1.6001]], device='cuda:0'), angle_fog : tensor([[0.3880]], device='cuda:0'), diff: 1.2122
image name [7434_resized], angle_normal : tensor([[-0.0568]], device='cuda:0'), angle_fog : tensor([[-0.0810]], device='cuda:0'), diff: 0.0242
image name [8536_resized], angle_normal : tensor([[0.0817]], device='cuda:0'), angle_fog : tensor([[0.1009]], device='cuda:0'), diff: 0.0192
image name [8677_resized], angle_normal : tensor([[-0.1274]], device='cuda:0'), angle_fog : tensor([[-1.8551]], device='cuda:0'), diff: 1.7277
image name [9054_resized], angle_normal : tensor([[0.1020]], device='cuda:0'), angle_fog : tensor([[-1.5691]], device='cuda:0'), diff: 1.6710
image name [9140_resized], angle_normal : tensor([[0.2889]], device='cuda:0'), angle_fog : tensor([[0.0091]], device='cuda:0'), diff: 0.2798
image name [9595_resized], angle_normal : tensor([[-0.1714]], device='cuda:0'), angle_fog : tensor([[-1.8120]], device='cuda:0'), diff: 1.6406
image name [9865_resized], angle_normal : tensor([[0.2272]], device='cuda:0'), angle_fog : tensor([[0.7434]], device='cuda:0'), diff: 0.5162
image name [9908_resized], angle_normal : tensor([[0.2228]], device='cuda:0'), angle_fog : tensor([[2.6885]], device='cuda:0'), diff: 2.4657
Mean:  1.815204141556674
std:  1.0341835985302195
