image name [10558_resized], angle_normal : tensor([[0.0860]], device='cuda:0'), angle_fog : tensor([[1.9425]], device='cuda:0'), diff: 1.8565
image name [18064_resized], angle_normal : tensor([[0.1271]], device='cuda:0'), angle_fog : tensor([[2.0563]], device='cuda:0'), diff: 1.9292
image name [18248_resized], angle_normal : tensor([[0.0651]], device='cuda:0'), angle_fog : tensor([[2.5564]], device='cuda:0'), diff: 2.4914
image name [18561_resized], angle_normal : tensor([[0.1817]], device='cuda:0'), angle_fog : tensor([[1.9863]], device='cuda:0'), diff: 1.8046
image name [18778_resized], angle_normal : tensor([[-0.2624]], device='cuda:0'), angle_fog : tensor([[0.0614]], device='cuda:0'), diff: 0.3238
image name [18789_resized], angle_normal : tensor([[-0.0689]], device='cuda:0'), angle_fog : tensor([[-0.0576]], device='cuda:0'), diff: 0.0112
image name [1881_resized], angle_normal : tensor([[-0.0379]], device='cuda:0'), angle_fog : tensor([[-1.2481]], device='cuda:0'), diff: 1.2102
image name [18983_resized], angle_normal : tensor([[-0.0026]], device='cuda:0'), angle_fog : tensor([[2.0778]], device='cuda:0'), diff: 2.0805
image name [19155_resized], angle_normal : tensor([[-0.1977]], device='cuda:0'), angle_fog : tensor([[2.4465]], device='cuda:0'), diff: 2.6442
image name [19544_resized], angle_normal : tensor([[0.3410]], device='cuda:0'), angle_fog : tensor([[2.7146]], device='cuda:0'), diff: 2.3737
image name [20212_resized], angle_normal : tensor([[-0.1576]], device='cuda:0'), angle_fog : tensor([[2.6448]], device='cuda:0'), diff: 2.8025
image name [21011_resized], angle_normal : tensor([[0.0946]], device='cuda:0'), angle_fog : tensor([[2.8552]], device='cuda:0'), diff: 2.7606
image name [21303_resized], angle_normal : tensor([[-0.0413]], device='cuda:0'), angle_fog : tensor([[2.4783]], device='cuda:0'), diff: 2.5196
image name [21488_resized], angle_normal : tensor([[0.0164]], device='cuda:0'), angle_fog : tensor([[2.5049]], device='cuda:0'), diff: 2.4885
image name [21693_resized], angle_normal : tensor([[0.3116]], device='cuda:0'), angle_fog : tensor([[2.4041]], device='cuda:0'), diff: 2.0925
image name [21822_resized], angle_normal : tensor([[0.3652]], device='cuda:0'), angle_fog : tensor([[2.8031]], device='cuda:0'), diff: 2.4379
image name [22719_resized], angle_normal : tensor([[-0.1978]], device='cuda:0'), angle_fog : tensor([[0.2834]], device='cuda:0'), diff: 0.4812
image name [23723_resized], angle_normal : tensor([[-0.1597]], device='cuda:0'), angle_fog : tensor([[2.5150]], device='cuda:0'), diff: 2.6747
image name [23745_resized], angle_normal : tensor([[0.1514]], device='cuda:0'), angle_fog : tensor([[2.5886]], device='cuda:0'), diff: 2.4372
image name [23897_resized], angle_normal : tensor([[0.2134]], device='cuda:0'), angle_fog : tensor([[2.7270]], device='cuda:0'), diff: 2.5136
image name [24025_resized], angle_normal : tensor([[0.0143]], device='cuda:0'), angle_fog : tensor([[2.2835]], device='cuda:0'), diff: 2.2692
image name [24047_resized], angle_normal : tensor([[0.0281]], device='cuda:0'), angle_fog : tensor([[2.3781]], device='cuda:0'), diff: 2.3500
image name [24122_resized], angle_normal : tensor([[-0.0588]], device='cuda:0'), angle_fog : tensor([[2.5616]], device='cuda:0'), diff: 2.6203
image name [24869_resized], angle_normal : tensor([[-0.3497]], device='cuda:0'), angle_fog : tensor([[2.6167]], device='cuda:0'), diff: 2.9664
image name [24900_resized], angle_normal : tensor([[-0.3460]], device='cuda:0'), angle_fog : tensor([[2.1750]], device='cuda:0'), diff: 2.5210
image name [25538_resized], angle_normal : tensor([[0.1819]], device='cuda:0'), angle_fog : tensor([[2.0804]], device='cuda:0'), diff: 1.8986
image name [25743_resized], angle_normal : tensor([[-0.8797]], device='cuda:0'), angle_fog : tensor([[0.0339]], device='cuda:0'), diff: 0.9136
image name [25765_resized], angle_normal : tensor([[-0.9377]], device='cuda:0'), angle_fog : tensor([[1.1170]], device='cuda:0'), diff: 2.0547
image name [26056_resized], angle_normal : tensor([[0.4455]], device='cuda:0'), angle_fog : tensor([[2.7232]], device='cuda:0'), diff: 2.2777
image name [26294_resized], angle_normal : tensor([[0.2724]], device='cuda:0'), angle_fog : tensor([[2.5174]], device='cuda:0'), diff: 2.2451
image name [26337_resized], angle_normal : tensor([[0.4072]], device='cuda:0'), angle_fog : tensor([[2.1925]], device='cuda:0'), diff: 1.7853
image name [27147_resized], angle_normal : tensor([[0.5263]], device='cuda:0'), angle_fog : tensor([[-0.9548]], device='cuda:0'), diff: 1.4811
image name [27493_resized], angle_normal : tensor([[0.4669]], device='cuda:0'), angle_fog : tensor([[-0.0942]], device='cuda:0'), diff: 0.5610
image name [27817_resized], angle_normal : tensor([[-0.1112]], device='cuda:0'), angle_fog : tensor([[2.4360]], device='cuda:0'), diff: 2.5472
image name [28021_resized], angle_normal : tensor([[0.3273]], device='cuda:0'), angle_fog : tensor([[0.1738]], device='cuda:0'), diff: 0.1535
image name [28032_resized], angle_normal : tensor([[0.5295]], device='cuda:0'), angle_fog : tensor([[-0.3249]], device='cuda:0'), diff: 0.8544
image name [28195_resized], angle_normal : tensor([[0.4816]], device='cuda:0'), angle_fog : tensor([[2.0145]], device='cuda:0'), diff: 1.5329
image name [28995_resized], angle_normal : tensor([[0.0267]], device='cuda:0'), angle_fog : tensor([[1.4556]], device='cuda:0'), diff: 1.4289
image name [292_resized], angle_normal : tensor([[2.3516]], device='cuda:0'), angle_fog : tensor([[2.1690]], device='cuda:0'), diff: 0.1826
image name [29631_resized], angle_normal : tensor([[0.6021]], device='cuda:0'), angle_fog : tensor([[1.4488]], device='cuda:0'), diff: 0.8467
image name [30192_resized], angle_normal : tensor([[-0.6221]], device='cuda:0'), angle_fog : tensor([[1.0642]], device='cuda:0'), diff: 1.6862
image name [30321_resized], angle_normal : tensor([[-0.0094]], device='cuda:0'), angle_fog : tensor([[1.5218]], device='cuda:0'), diff: 1.5312
image name [30408_resized], angle_normal : tensor([[0.0849]], device='cuda:0'), angle_fog : tensor([[0.4995]], device='cuda:0'), diff: 0.4146
image name [30570_resized], angle_normal : tensor([[0.4423]], device='cuda:0'), angle_fog : tensor([[1.9856]], device='cuda:0'), diff: 1.5433
image name [31759_resized], angle_normal : tensor([[0.1047]], device='cuda:0'), angle_fog : tensor([[2.3453]], device='cuda:0'), diff: 2.2406
image name [32071_resized], angle_normal : tensor([[-0.0540]], device='cuda:0'), angle_fog : tensor([[2.7301]], device='cuda:0'), diff: 2.7841
image name [32547_resized], angle_normal : tensor([[-0.6625]], device='cuda:0'), angle_fog : tensor([[-0.4907]], device='cuda:0'), diff: 0.1718
image name [33292_resized], angle_normal : tensor([[-0.5755]], device='cuda:0'), angle_fog : tensor([[2.1797]], device='cuda:0'), diff: 2.7552
image name [33432_resized], angle_normal : tensor([[-0.1967]], device='cuda:0'), angle_fog : tensor([[2.7485]], device='cuda:0'), diff: 2.9453
image name [33487_resized], angle_normal : tensor([[0.7703]], device='cuda:0'), angle_fog : tensor([[2.5322]], device='cuda:0'), diff: 1.7619
image name [33562_resized], angle_normal : tensor([[0.0632]], device='cuda:0'), angle_fog : tensor([[1.8387]], device='cuda:0'), diff: 1.7755
image name [33595_resized], angle_normal : tensor([[0.0834]], device='cuda:0'), angle_fog : tensor([[0.7233]], device='cuda:0'), diff: 0.6399
image name [33779_resized], angle_normal : tensor([[-0.8516]], device='cuda:0'), angle_fog : tensor([[2.7583]], device='cuda:0'), diff: 3.6099
image name [34091_resized], angle_normal : tensor([[0.2439]], device='cuda:0'), angle_fog : tensor([[1.3572]], device='cuda:0'), diff: 1.1133
image name [34178_resized], angle_normal : tensor([[-0.5882]], device='cuda:0'), angle_fog : tensor([[0.5474]], device='cuda:0'), diff: 1.1356
image name [34415_resized], angle_normal : tensor([[0.4653]], device='cuda:0'), angle_fog : tensor([[1.6584]], device='cuda:0'), diff: 1.1931
image name [34501_resized], angle_normal : tensor([[1.6968]], device='cuda:0'), angle_fog : tensor([[2.7680]], device='cuda:0'), diff: 1.0711
image name [34750_resized], angle_normal : tensor([[-0.0082]], device='cuda:0'), angle_fog : tensor([[2.7566]], device='cuda:0'), diff: 2.7649
image name [34891_resized], angle_normal : tensor([[0.2479]], device='cuda:0'), angle_fog : tensor([[0.5238]], device='cuda:0'), diff: 0.2759
image name [35355_resized], angle_normal : tensor([[-0.4260]], device='cuda:0'), angle_fog : tensor([[1.3688]], device='cuda:0'), diff: 1.7948
image name [35366_resized], angle_normal : tensor([[-0.7001]], device='cuda:0'), angle_fog : tensor([[2.5285]], device='cuda:0'), diff: 3.2286
image name [35452_resized], angle_normal : tensor([[2.4053]], device='cuda:0'), angle_fog : tensor([[2.8425]], device='cuda:0'), diff: 0.4371
image name [35506_resized], angle_normal : tensor([[0.0074]], device='cuda:0'), angle_fog : tensor([[2.0946]], device='cuda:0'), diff: 2.0872
image name [35733_resized], angle_normal : tensor([[-0.5481]], device='cuda:0'), angle_fog : tensor([[2.5712]], device='cuda:0'), diff: 3.1194
image name [36024_resized], angle_normal : tensor([[0.1418]], device='cuda:0'), angle_fog : tensor([[1.0902]], device='cuda:0'), diff: 0.9484
image name [36110_resized], angle_normal : tensor([[-0.0342]], device='cuda:0'), angle_fog : tensor([[2.6691]], device='cuda:0'), diff: 2.7033
image name [3649_resized], angle_normal : tensor([[0.0618]], device='cuda:0'), angle_fog : tensor([[2.6556]], device='cuda:0'), diff: 2.5938
image name [3689_resized], angle_normal : tensor([[0.0577]], device='cuda:0'), angle_fog : tensor([[2.6413]], device='cuda:0'), diff: 2.5836
image name [36943_resized], angle_normal : tensor([[-0.4573]], device='cuda:0'), angle_fog : tensor([[0.3215]], device='cuda:0'), diff: 0.7788
image name [37212_resized], angle_normal : tensor([[-0.9939]], device='cuda:0'), angle_fog : tensor([[0.0921]], device='cuda:0'), diff: 1.0860
image name [37245_resized], angle_normal : tensor([[-0.4991]], device='cuda:0'), angle_fog : tensor([[1.7287]], device='cuda:0'), diff: 2.2278
image name [37526_resized], angle_normal : tensor([[0.2198]], device='cuda:0'), angle_fog : tensor([[-0.0643]], device='cuda:0'), diff: 0.2841
image name [3757_resized], angle_normal : tensor([[0.0624]], device='cuda:0'), angle_fog : tensor([[2.6921]], device='cuda:0'), diff: 2.6297
image name [37612_resized], angle_normal : tensor([[-0.0297]], device='cuda:0'), angle_fog : tensor([[-0.3137]], device='cuda:0'), diff: 0.2840
image name [38282_resized], angle_normal : tensor([[0.0434]], device='cuda:0'), angle_fog : tensor([[2.7469]], device='cuda:0'), diff: 2.7034
image name [38293_resized], angle_normal : tensor([[0.7206]], device='cuda:0'), angle_fog : tensor([[2.7795]], device='cuda:0'), diff: 2.0589
image name [38433_resized], angle_normal : tensor([[0.7696]], device='cuda:0'), angle_fog : tensor([[2.5764]], device='cuda:0'), diff: 1.8068
image name [38714_resized], angle_normal : tensor([[0.1700]], device='cuda:0'), angle_fog : tensor([[2.6215]], device='cuda:0'), diff: 2.4515
image name [38769_resized], angle_normal : tensor([[0.1741]], device='cuda:0'), angle_fog : tensor([[2.6263]], device='cuda:0'), diff: 2.4522
image name [39081_resized], angle_normal : tensor([[-0.6606]], device='cuda:0'), angle_fog : tensor([[0.0967]], device='cuda:0'), diff: 0.7572
image name [39135_resized], angle_normal : tensor([[-0.0404]], device='cuda:0'), angle_fog : tensor([[0.4147]], device='cuda:0'), diff: 0.4552
image name [39232_resized], angle_normal : tensor([[0.0970]], device='cuda:0'), angle_fog : tensor([[2.3623]], device='cuda:0'), diff: 2.2653
image name [39513_resized], angle_normal : tensor([[-0.7961]], device='cuda:0'), angle_fog : tensor([[2.1418]], device='cuda:0'), diff: 2.9379
image name [39557_resized], angle_normal : tensor([[0.7752]], device='cuda:0'), angle_fog : tensor([[1.1818]], device='cuda:0'), diff: 0.4065
image name [39751_resized], angle_normal : tensor([[0.0465]], device='cuda:0'), angle_fog : tensor([[2.3413]], device='cuda:0'), diff: 2.2948
image name [40096_resized], angle_normal : tensor([[-0.0614]], device='cuda:0'), angle_fog : tensor([[0.5165]], device='cuda:0'), diff: 0.5779
image name [40258_resized], angle_normal : tensor([[0.0087]], device='cuda:0'), angle_fog : tensor([[1.1852]], device='cuda:0'), diff: 1.1765
image name [40755_resized], angle_normal : tensor([[0.2560]], device='cuda:0'), angle_fog : tensor([[2.7026]], device='cuda:0'), diff: 2.4466
image name [41046_resized], angle_normal : tensor([[-0.1357]], device='cuda:0'), angle_fog : tensor([[2.2794]], device='cuda:0'), diff: 2.4151
image name [41132_resized], angle_normal : tensor([[-0.0964]], device='cuda:0'), angle_fog : tensor([[0.8207]], device='cuda:0'), diff: 0.9170
image name [41338_resized], angle_normal : tensor([[0.1900]], device='cuda:0'), angle_fog : tensor([[2.1038]], device='cuda:0'), diff: 1.9138
image name [41565_resized], angle_normal : tensor([[0.0724]], device='cuda:0'), angle_fog : tensor([[2.1595]], device='cuda:0'), diff: 2.0870
image name [41608_resized], angle_normal : tensor([[0.0496]], device='cuda:0'), angle_fog : tensor([[1.5679]], device='cuda:0'), diff: 1.5184
image name [42353_resized], angle_normal : tensor([[-0.1002]], device='cuda:0'), angle_fog : tensor([[2.1233]], device='cuda:0'), diff: 2.2235
image name [42450_resized], angle_normal : tensor([[0.0725]], device='cuda:0'), angle_fog : tensor([[2.3818]], device='cuda:0'), diff: 2.3093
image name [42580_resized], angle_normal : tensor([[0.3112]], device='cuda:0'), angle_fog : tensor([[2.4009]], device='cuda:0'), diff: 2.0897
image name [42720_resized], angle_normal : tensor([[0.4229]], device='cuda:0'), angle_fog : tensor([[2.8388]], device='cuda:0'), diff: 2.4159
image name [42797_resized], angle_normal : tensor([[-0.1284]], device='cuda:0'), angle_fog : tensor([[2.6638]], device='cuda:0'), diff: 2.7922
image name [42829_resized], angle_normal : tensor([[0.1685]], device='cuda:0'), angle_fog : tensor([[2.1617]], device='cuda:0'), diff: 1.9932
image name [43228_resized], angle_normal : tensor([[-0.1576]], device='cuda:0'), angle_fog : tensor([[2.0988]], device='cuda:0'), diff: 2.2564
image name [43347_resized], angle_normal : tensor([[0.0888]], device='cuda:0'), angle_fog : tensor([[2.5701]], device='cuda:0'), diff: 2.4813
image name [43477_resized], angle_normal : tensor([[-0.0908]], device='cuda:0'), angle_fog : tensor([[2.5808]], device='cuda:0'), diff: 2.6715
image name [43899_resized], angle_normal : tensor([[-0.3186]], device='cuda:0'), angle_fog : tensor([[2.5242]], device='cuda:0'), diff: 2.8428
image name [44427_resized], angle_normal : tensor([[0.1346]], device='cuda:0'), angle_fog : tensor([[2.5314]], device='cuda:0'), diff: 2.3968
image name [44502_resized], angle_normal : tensor([[0.0476]], device='cuda:0'), angle_fog : tensor([[2.5313]], device='cuda:0'), diff: 2.4837
image name [44535_resized], angle_normal : tensor([[0.0819]], device='cuda:0'), angle_fog : tensor([[2.5348]], device='cuda:0'), diff: 2.4529
image name [4514_resized], angle_normal : tensor([[0.3426]], device='cuda:0'), angle_fog : tensor([[2.3901]], device='cuda:0'), diff: 2.0475
image name [45172_resized], angle_normal : tensor([[0.3028]], device='cuda:0'), angle_fog : tensor([[2.8154]], device='cuda:0'), diff: 2.5126
image name [45389_resized], angle_normal : tensor([[0.1247]], device='cuda:0'), angle_fog : tensor([[2.0314]], device='cuda:0'), diff: 1.9067
image name [45420_resized], angle_normal : tensor([[0.1971]], device='cuda:0'), angle_fog : tensor([[2.5427]], device='cuda:0'), diff: 2.3455
image name [45518_resized], angle_normal : tensor([[-0.2248]], device='cuda:0'), angle_fog : tensor([[0.3487]], device='cuda:0'), diff: 0.5735
image name [45529_resized], angle_normal : tensor([[-0.2413]], device='cuda:0'), angle_fog : tensor([[0.0832]], device='cuda:0'), diff: 0.3245
image name [4594_resized], angle_normal : tensor([[0.3279]], device='cuda:0'), angle_fog : tensor([[2.6475]], device='cuda:0'), diff: 2.3196
image name [4659_resized], angle_normal : tensor([[0.1881]], device='cuda:0'), angle_fog : tensor([[1.8622]], device='cuda:0'), diff: 1.6741
image name [4767_resized], angle_normal : tensor([[0.0220]], device='cuda:0'), angle_fog : tensor([[2.5687]], device='cuda:0'), diff: 2.5467
image name [4820_resized], angle_normal : tensor([[0.0994]], device='cuda:0'), angle_fog : tensor([[0.9252]], device='cuda:0'), diff: 0.8258
image name [548_resized], angle_normal : tensor([[-0.9554]], device='cuda:0'), angle_fog : tensor([[1.6757]], device='cuda:0'), diff: 2.6311
image name [5500_resized], angle_normal : tensor([[-0.0656]], device='cuda:0'), angle_fog : tensor([[2.5161]], device='cuda:0'), diff: 2.5816
image name [5674_resized], angle_normal : tensor([[-0.1302]], device='cuda:0'), angle_fog : tensor([[2.3324]], device='cuda:0'), diff: 2.4626
image name [603_resized], angle_normal : tensor([[-0.2272]], device='cuda:0'), angle_fog : tensor([[1.5540]], device='cuda:0'), diff: 1.7813
image name [6084_resized], angle_normal : tensor([[-0.2335]], device='cuda:0'), angle_fog : tensor([[0.2858]], device='cuda:0'), diff: 0.5193
image name [6743_resized], angle_normal : tensor([[0.1431]], device='cuda:0'), angle_fog : tensor([[2.6057]], device='cuda:0'), diff: 2.4625
image name [6895_resized], angle_normal : tensor([[0.1880]], device='cuda:0'), angle_fog : tensor([[1.5234]], device='cuda:0'), diff: 1.3354
image name [7434_resized], angle_normal : tensor([[-0.2653]], device='cuda:0'), angle_fog : tensor([[1.6507]], device='cuda:0'), diff: 1.9160
image name [8536_resized], angle_normal : tensor([[0.3758]], device='cuda:0'), angle_fog : tensor([[0.5077]], device='cuda:0'), diff: 0.1318
image name [8677_resized], angle_normal : tensor([[-0.0944]], device='cuda:0'), angle_fog : tensor([[0.3658]], device='cuda:0'), diff: 0.4603
image name [9054_resized], angle_normal : tensor([[0.2129]], device='cuda:0'), angle_fog : tensor([[0.4228]], device='cuda:0'), diff: 0.2098
image name [9140_resized], angle_normal : tensor([[0.3819]], device='cuda:0'), angle_fog : tensor([[2.3047]], device='cuda:0'), diff: 1.9229
image name [9595_resized], angle_normal : tensor([[-0.0408]], device='cuda:0'), angle_fog : tensor([[0.2991]], device='cuda:0'), diff: 0.3399
image name [9865_resized], angle_normal : tensor([[0.1667]], device='cuda:0'), angle_fog : tensor([[2.1298]], device='cuda:0'), diff: 1.9631
image name [9908_resized], angle_normal : tensor([[0.4950]], device='cuda:0'), angle_fog : tensor([[2.4475]], device='cuda:0'), diff: 1.9525
Mean:  1.880239584464703
std:  0.8495997066376443
