image name [1479424215880976321], angle_normal : tensor([[-1.5043]], device='cuda:0'), angle_fog : tensor([[-1.0901]], device='cuda:0'), diff: 0.4143
image name [1479424253887287447], angle_normal : tensor([[0.0245]], device='cuda:0'), angle_fog : tensor([[0.0056]], device='cuda:0'), diff: 0.0189
image name [1479424254887499233], angle_normal : tensor([[0.0511]], device='cuda:0'), angle_fog : tensor([[-0.0169]], device='cuda:0'), diff: 0.0679
image name [1479424255887629715], angle_normal : tensor([[0.0331]], device='cuda:0'), angle_fog : tensor([[0.0105]], device='cuda:0'), diff: 0.0226
image name [1479424256887956128], angle_normal : tensor([[0.0143]], device='cuda:0'), angle_fog : tensor([[-0.0413]], device='cuda:0'), diff: 0.0557
image name [1479424257888066754], angle_normal : tensor([[-0.0003]], device='cuda:0'), angle_fog : tensor([[-0.0885]], device='cuda:0'), diff: 0.0882
image name [1479424258888120092], angle_normal : tensor([[0.0892]], device='cuda:0'), angle_fog : tensor([[-0.0281]], device='cuda:0'), diff: 0.1173
image name [1479424259888480372], angle_normal : tensor([[0.1221]], device='cuda:0'), angle_fog : tensor([[0.0926]], device='cuda:0'), diff: 0.0295
image name [1479424260888711642], angle_normal : tensor([[0.0893]], device='cuda:0'), angle_fog : tensor([[0.1033]], device='cuda:0'), diff: 0.0140
image name [1479424261888818499], angle_normal : tensor([[0.0983]], device='cuda:0'), angle_fog : tensor([[0.1289]], device='cuda:0'), diff: 0.0306
image name [1479424262889027717], angle_normal : tensor([[-0.0272]], device='cuda:0'), angle_fog : tensor([[-0.0642]], device='cuda:0'), diff: 0.0370
image name [1479424263889339992], angle_normal : tensor([[0.0327]], device='cuda:0'), angle_fog : tensor([[-0.1062]], device='cuda:0'), diff: 0.1389
image name [1479424264889295835], angle_normal : tensor([[0.0214]], device='cuda:0'), angle_fog : tensor([[-0.2144]], device='cuda:0'), diff: 0.2358
image name [1479424265889436500], angle_normal : tensor([[0.0107]], device='cuda:0'), angle_fog : tensor([[-0.1184]], device='cuda:0'), diff: 0.1291
image name [1479424266889544453], angle_normal : tensor([[0.1540]], device='cuda:0'), angle_fog : tensor([[0.2391]], device='cuda:0'), diff: 0.0851
image name [1479424267889769064], angle_normal : tensor([[0.0756]], device='cuda:0'), angle_fog : tensor([[0.2358]], device='cuda:0'), diff: 0.1602
image name [1479424268889932329], angle_normal : tensor([[0.0333]], device='cuda:0'), angle_fog : tensor([[0.0958]], device='cuda:0'), diff: 0.0625
image name [1479424269890080327], angle_normal : tensor([[0.0161]], device='cuda:0'), angle_fog : tensor([[0.1071]], device='cuda:0'), diff: 0.0910
image name [1479424270890279105], angle_normal : tensor([[0.0227]], device='cuda:0'), angle_fog : tensor([[0.0637]], device='cuda:0'), diff: 0.0410
image name [1479424271890734840], angle_normal : tensor([[0.0075]], device='cuda:0'), angle_fog : tensor([[0.0756]], device='cuda:0'), diff: 0.0681
image name [1479424272890824414], angle_normal : tensor([[0.0113]], device='cuda:0'), angle_fog : tensor([[0.0925]], device='cuda:0'), diff: 0.0812
image name [1479424273891276987], angle_normal : tensor([[-0.0113]], device='cuda:0'), angle_fog : tensor([[0.1060]], device='cuda:0'), diff: 0.1173
image name [1479424274891273253], angle_normal : tensor([[-0.0115]], device='cuda:0'), angle_fog : tensor([[0.0991]], device='cuda:0'), diff: 0.1106
image name [1479424275891482829], angle_normal : tensor([[0.0153]], device='cuda:0'), angle_fog : tensor([[0.1045]], device='cuda:0'), diff: 0.0892
image name [1479424276897244858], angle_normal : tensor([[0.0178]], device='cuda:0'), angle_fog : tensor([[-0.0345]], device='cuda:0'), diff: 0.0523
image name [1479424277891666117], angle_normal : tensor([[-0.0576]], device='cuda:0'), angle_fog : tensor([[-0.0339]], device='cuda:0'), diff: 0.0238
image name [1479424278891781623], angle_normal : tensor([[0.0481]], device='cuda:0'), angle_fog : tensor([[0.1762]], device='cuda:0'), diff: 0.1281
image name [1479424279892089983], angle_normal : tensor([[0.0349]], device='cuda:0'), angle_fog : tensor([[0.0772]], device='cuda:0'), diff: 0.0422
image name [1479424280892123626], angle_normal : tensor([[0.0649]], device='cuda:0'), angle_fog : tensor([[-0.0495]], device='cuda:0'), diff: 0.1144
image name [1479424281892198962], angle_normal : tensor([[0.0500]], device='cuda:0'), angle_fog : tensor([[-0.0590]], device='cuda:0'), diff: 0.1090
image name [1479424282892379985], angle_normal : tensor([[0.0770]], device='cuda:0'), angle_fog : tensor([[0.1391]], device='cuda:0'), diff: 0.0621
image name [1479424283892573271], angle_normal : tensor([[0.1146]], device='cuda:0'), angle_fog : tensor([[-0.1261]], device='cuda:0'), diff: 0.2407
image name [1479424284892817158], angle_normal : tensor([[0.0623]], device='cuda:0'), angle_fog : tensor([[-0.0021]], device='cuda:0'), diff: 0.0644
image name [1479424285892925146], angle_normal : tensor([[0.0350]], device='cuda:0'), angle_fog : tensor([[0.0556]], device='cuda:0'), diff: 0.0207
image name [1479424286893095340], angle_normal : tensor([[0.0285]], device='cuda:0'), angle_fog : tensor([[-0.0302]], device='cuda:0'), diff: 0.0587
image name [1479424287893255346], angle_normal : tensor([[0.0048]], device='cuda:0'), angle_fog : tensor([[0.0359]], device='cuda:0'), diff: 0.0311
image name [1479424288893445935], angle_normal : tensor([[-0.0186]], device='cuda:0'), angle_fog : tensor([[0.0177]], device='cuda:0'), diff: 0.0364
image name [1479424289893563175], angle_normal : tensor([[-0.0134]], device='cuda:0'), angle_fog : tensor([[-0.1490]], device='cuda:0'), diff: 0.1356
image name [1479424290894064718], angle_normal : tensor([[-0.0071]], device='cuda:0'), angle_fog : tensor([[-0.0983]], device='cuda:0'), diff: 0.0912
image name [1479424291893938429], angle_normal : tensor([[0.0189]], device='cuda:0'), angle_fog : tensor([[-0.1994]], device='cuda:0'), diff: 0.2183
image name [1479424292894144843], angle_normal : tensor([[0.0184]], device='cuda:0'), angle_fog : tensor([[0.0162]], device='cuda:0'), diff: 0.0022
image name [1479424293894313748], angle_normal : tensor([[0.0255]], device='cuda:0'), angle_fog : tensor([[-0.0335]], device='cuda:0'), diff: 0.0590
image name [1479424294894540390], angle_normal : tensor([[-0.0338]], device='cuda:0'), angle_fog : tensor([[-0.0796]], device='cuda:0'), diff: 0.0458
image name [1479424295894702979], angle_normal : tensor([[0.0099]], device='cuda:0'), angle_fog : tensor([[-0.1108]], device='cuda:0'), diff: 0.1206
image name [1479424296894930701], angle_normal : tensor([[0.0226]], device='cuda:0'), angle_fog : tensor([[-0.1388]], device='cuda:0'), diff: 0.1614
image name [1479424297895134617], angle_normal : tensor([[-0.1052]], device='cuda:0'), angle_fog : tensor([[-0.3228]], device='cuda:0'), diff: 0.2176
image name [1479424298895172694], angle_normal : tensor([[0.0194]], device='cuda:0'), angle_fog : tensor([[-0.1206]], device='cuda:0'), diff: 0.1399
image name [1479424299895356002], angle_normal : tensor([[0.4632]], device='cuda:0'), angle_fog : tensor([[0.1831]], device='cuda:0'), diff: 0.2801
image name [1479424300895603197], angle_normal : tensor([[-0.0275]], device='cuda:0'), angle_fog : tensor([[-0.0405]], device='cuda:0'), diff: 0.0130
image name [1479424301895655430], angle_normal : tensor([[-0.1032]], device='cuda:0'), angle_fog : tensor([[-0.1082]], device='cuda:0'), diff: 0.0050
image name [1479424302895853046], angle_normal : tensor([[-0.0190]], device='cuda:0'), angle_fog : tensor([[-0.0540]], device='cuda:0'), diff: 0.0350
image name [1479424303896145598], angle_normal : tensor([[-0.0823]], device='cuda:0'), angle_fog : tensor([[0.1129]], device='cuda:0'), diff: 0.1952
image name [1479424304896228022], angle_normal : tensor([[-0.0072]], device='cuda:0'), angle_fog : tensor([[0.0172]], device='cuda:0'), diff: 0.0245
image name [1479424305896472479], angle_normal : tensor([[0.0306]], device='cuda:0'), angle_fog : tensor([[-0.0271]], device='cuda:0'), diff: 0.0578
image name [1479424306896622361], angle_normal : tensor([[-0.0367]], device='cuda:0'), angle_fog : tensor([[-0.0452]], device='cuda:0'), diff: 0.0085
image name [1479424307896832564], angle_normal : tensor([[-0.0010]], device='cuda:0'), angle_fog : tensor([[0.0323]], device='cuda:0'), diff: 0.0334
image name [1479424308896958852], angle_normal : tensor([[0.0641]], device='cuda:0'), angle_fog : tensor([[-0.0965]], device='cuda:0'), diff: 0.1607
image name [1479424309897124646], angle_normal : tensor([[-0.0117]], device='cuda:0'), angle_fog : tensor([[0.0111]], device='cuda:0'), diff: 0.0227
image name [1479424310897299417], angle_normal : tensor([[0.2588]], device='cuda:0'), angle_fog : tensor([[0.4142]], device='cuda:0'), diff: 0.1554
image name [1479424311897449406], angle_normal : tensor([[0.0452]], device='cuda:0'), angle_fog : tensor([[-0.0482]], device='cuda:0'), diff: 0.0934
image name [1479424312897630596], angle_normal : tensor([[0.0099]], device='cuda:0'), angle_fog : tensor([[-0.0202]], device='cuda:0'), diff: 0.0301
image name [1479424313897875474], angle_normal : tensor([[0.4909]], device='cuda:0'), angle_fog : tensor([[0.0694]], device='cuda:0'), diff: 0.4215
image name [1479424314897966410], angle_normal : tensor([[-0.6733]], device='cuda:0'), angle_fog : tensor([[-0.8607]], device='cuda:0'), diff: 0.1875
image name [1479424315898131383], angle_normal : tensor([[-0.0597]], device='cuda:0'), angle_fog : tensor([[-0.0696]], device='cuda:0'), diff: 0.0099
image name [1479424316898345738], angle_normal : tensor([[0.0112]], device='cuda:0'), angle_fog : tensor([[-0.0827]], device='cuda:0'), diff: 0.0939
image name [1479424317898500576], angle_normal : tensor([[-0.0052]], device='cuda:0'), angle_fog : tensor([[-0.1452]], device='cuda:0'), diff: 0.1399
image name [1479424318898680541], angle_normal : tensor([[0.0093]], device='cuda:0'), angle_fog : tensor([[-0.1356]], device='cuda:0'), diff: 0.1449
image name [1479424319898840411], angle_normal : tensor([[0.3610]], device='cuda:0'), angle_fog : tensor([[0.2580]], device='cuda:0'), diff: 0.1030
image name [1479424320899003962], angle_normal : tensor([[0.0413]], device='cuda:0'), angle_fog : tensor([[-0.1695]], device='cuda:0'), diff: 0.2108
image name [1479424321899223943], angle_normal : tensor([[-0.0455]], device='cuda:0'), angle_fog : tensor([[-0.0752]], device='cuda:0'), diff: 0.0296
image name [1479424322899372436], angle_normal : tensor([[-0.0001]], device='cuda:0'), angle_fog : tensor([[-0.1079]], device='cuda:0'), diff: 0.1078
image name [1479424323899572866], angle_normal : tensor([[0.0218]], device='cuda:0'), angle_fog : tensor([[0.0179]], device='cuda:0'), diff: 0.0039
image name [1479424324899789605], angle_normal : tensor([[0.0404]], device='cuda:0'), angle_fog : tensor([[-0.0247]], device='cuda:0'), diff: 0.0651
image name [1479424325899892992], angle_normal : tensor([[0.0252]], device='cuda:0'), angle_fog : tensor([[0.1266]], device='cuda:0'), diff: 0.1014
image name [1479424326900040822], angle_normal : tensor([[0.0024]], device='cuda:0'), angle_fog : tensor([[-0.0963]], device='cuda:0'), diff: 0.0986
image name [1479424327900252127], angle_normal : tensor([[-0.0091]], device='cuda:0'), angle_fog : tensor([[0.0062]], device='cuda:0'), diff: 0.0154
image name [1479424328900610844], angle_normal : tensor([[-0.1170]], device='cuda:0'), angle_fog : tensor([[-0.0538]], device='cuda:0'), diff: 0.0632
image name [1479424329900845826], angle_normal : tensor([[-0.3770]], device='cuda:0'), angle_fog : tensor([[-0.1307]], device='cuda:0'), diff: 0.2463
image name [1479424330900922751], angle_normal : tensor([[-0.0575]], device='cuda:0'), angle_fog : tensor([[-0.1074]], device='cuda:0'), diff: 0.0498
image name [1479424331901066308], angle_normal : tensor([[0.1137]], device='cuda:0'), angle_fog : tensor([[0.0370]], device='cuda:0'), diff: 0.0766
image name [1479424332901262892], angle_normal : tensor([[0.2862]], device='cuda:0'), angle_fog : tensor([[0.1406]], device='cuda:0'), diff: 0.1456
image name [1479424333901573454], angle_normal : tensor([[0.0114]], device='cuda:0'), angle_fog : tensor([[-0.1841]], device='cuda:0'), diff: 0.1955
image name [1479424334901676985], angle_normal : tensor([[0.1884]], device='cuda:0'), angle_fog : tensor([[-0.0425]], device='cuda:0'), diff: 0.2309
image name [1479424335901835589], angle_normal : tensor([[0.0623]], device='cuda:0'), angle_fog : tensor([[0.2021]], device='cuda:0'), diff: 0.1398
image name [1479424336903323873], angle_normal : tensor([[0.0612]], device='cuda:0'), angle_fog : tensor([[0.4610]], device='cuda:0'), diff: 0.3998
image name [1479424337902105986], angle_normal : tensor([[0.0640]], device='cuda:0'), angle_fog : tensor([[0.2101]], device='cuda:0'), diff: 0.1461
image name [1479424338903439484], angle_normal : tensor([[0.1024]], device='cuda:0'), angle_fog : tensor([[0.2145]], device='cuda:0'), diff: 0.1122
image name [1479424339902461396], angle_normal : tensor([[0.1529]], device='cuda:0'), angle_fog : tensor([[0.2746]], device='cuda:0'), diff: 0.1216
image name [1479424340902861452], angle_normal : tensor([[-0.0437]], device='cuda:0'), angle_fog : tensor([[-0.1322]], device='cuda:0'), diff: 0.0885
image name [1479424341902825503], angle_normal : tensor([[0.0243]], device='cuda:0'), angle_fog : tensor([[0.0567]], device='cuda:0'), diff: 0.0324
image name [1479424342903244475], angle_normal : tensor([[0.0690]], device='cuda:0'), angle_fog : tensor([[0.2075]], device='cuda:0'), diff: 0.1385
image name [1479424343903510776], angle_normal : tensor([[0.0814]], device='cuda:0'), angle_fog : tensor([[-0.3847]], device='cuda:0'), diff: 0.4662
image name [1479424344903406455], angle_normal : tensor([[0.0303]], device='cuda:0'), angle_fog : tensor([[0.1542]], device='cuda:0'), diff: 0.1238
image name [1479424345903504863], angle_normal : tensor([[0.0304]], device='cuda:0'), angle_fog : tensor([[0.0177]], device='cuda:0'), diff: 0.0126
image name [1479424346903686498], angle_normal : tensor([[0.0389]], device='cuda:0'), angle_fog : tensor([[-0.0594]], device='cuda:0'), diff: 0.0983
image name [1479424347903945427], angle_normal : tensor([[0.0581]], device='cuda:0'), angle_fog : tensor([[-0.0274]], device='cuda:0'), diff: 0.0855
image name [1479424348904046334], angle_normal : tensor([[-0.0401]], device='cuda:0'), angle_fog : tensor([[-0.0155]], device='cuda:0'), diff: 0.0246
image name [1479424349904341084], angle_normal : tensor([[0.0657]], device='cuda:0'), angle_fog : tensor([[-0.0084]], device='cuda:0'), diff: 0.0740
image name [1479424350904517398], angle_normal : tensor([[0.0246]], device='cuda:0'), angle_fog : tensor([[-0.0870]], device='cuda:0'), diff: 0.1116
image name [1479424351909450610], angle_normal : tensor([[-0.0170]], device='cuda:0'), angle_fog : tensor([[0.0324]], device='cuda:0'), diff: 0.0494
image name [1479424352904735846], angle_normal : tensor([[0.0810]], device='cuda:0'), angle_fog : tensor([[0.0110]], device='cuda:0'), diff: 0.0700
image name [1479424353904923133], angle_normal : tensor([[0.1569]], device='cuda:0'), angle_fog : tensor([[0.0805]], device='cuda:0'), diff: 0.0764
image name [1479424354905070928], angle_normal : tensor([[0.0302]], device='cuda:0'), angle_fog : tensor([[-0.0400]], device='cuda:0'), diff: 0.0703
image name [1479424355905478227], angle_normal : tensor([[0.0746]], device='cuda:0'), angle_fog : tensor([[-0.1435]], device='cuda:0'), diff: 0.2182
image name [1479424356905596642], angle_normal : tensor([[0.0670]], device='cuda:0'), angle_fog : tensor([[0.0271]], device='cuda:0'), diff: 0.0399
image name [1479424357907215600], angle_normal : tensor([[0.0388]], device='cuda:0'), angle_fog : tensor([[-0.0748]], device='cuda:0'), diff: 0.1136
image name [1479424358905839808], angle_normal : tensor([[0.2888]], device='cuda:0'), angle_fog : tensor([[0.2762]], device='cuda:0'), diff: 0.0126
image name [1479424359906057371], angle_normal : tensor([[0.2205]], device='cuda:0'), angle_fog : tensor([[0.2721]], device='cuda:0'), diff: 0.0516
image name [1479424360906174839], angle_normal : tensor([[0.0374]], device='cuda:0'), angle_fog : tensor([[-0.0196]], device='cuda:0'), diff: 0.0570
image name [1479424361906319499], angle_normal : tensor([[0.0651]], device='cuda:0'), angle_fog : tensor([[0.1073]], device='cuda:0'), diff: 0.0422
image name [1479424362906517994], angle_normal : tensor([[0.0338]], device='cuda:0'), angle_fog : tensor([[-0.1901]], device='cuda:0'), diff: 0.2239
image name [1479424363906728434], angle_normal : tensor([[-0.0919]], device='cuda:0'), angle_fog : tensor([[-0.1561]], device='cuda:0'), diff: 0.0642
image name [1479424364906874580], angle_normal : tensor([[-0.0938]], device='cuda:0'), angle_fog : tensor([[0.2031]], device='cuda:0'), diff: 0.2969
image name [1479424365906980921], angle_normal : tensor([[0.0083]], device='cuda:0'), angle_fog : tensor([[-0.1438]], device='cuda:0'), diff: 0.1521
image name [1479424366907139574], angle_normal : tensor([[-0.0248]], device='cuda:0'), angle_fog : tensor([[-0.1041]], device='cuda:0'), diff: 0.0793
image name [1479424367907247296], angle_normal : tensor([[0.1821]], device='cuda:0'), angle_fog : tensor([[0.3216]], device='cuda:0'), diff: 0.1395
image name [1479424368907419063], angle_normal : tensor([[-0.0408]], device='cuda:0'), angle_fog : tensor([[0.0551]], device='cuda:0'), diff: 0.0959
image name [1479424369907706692], angle_normal : tensor([[0.0629]], device='cuda:0'), angle_fog : tensor([[0.0535]], device='cuda:0'), diff: 0.0094
image name [1479424370907711414], angle_normal : tensor([[0.0424]], device='cuda:0'), angle_fog : tensor([[0.0931]], device='cuda:0'), diff: 0.0507
image name [1479424371908045867], angle_normal : tensor([[0.1159]], device='cuda:0'), angle_fog : tensor([[0.1608]], device='cuda:0'), diff: 0.0449
image name [1479424372908293952], angle_normal : tensor([[0.4105]], device='cuda:0'), angle_fog : tensor([[0.2222]], device='cuda:0'), diff: 0.1884
image name [1479424373908274368], angle_normal : tensor([[0.4419]], device='cuda:0'), angle_fog : tensor([[0.2291]], device='cuda:0'), diff: 0.2129
image name [1479424374909438001], angle_normal : tensor([[0.8663]], device='cuda:0'), angle_fog : tensor([[0.2912]], device='cuda:0'), diff: 0.5751
image name [1479424375908764818], angle_normal : tensor([[1.2066]], device='cuda:0'), angle_fog : tensor([[0.6519]], device='cuda:0'), diff: 0.5547
image name [1479424376908838042], angle_normal : tensor([[1.7339]], device='cuda:0'), angle_fog : tensor([[1.3958]], device='cuda:0'), diff: 0.3381
image name [1479424377908956389], angle_normal : tensor([[2.7362]], device='cuda:0'), angle_fog : tensor([[2.9166]], device='cuda:0'), diff: 0.1804
image name [1479424378909429707], angle_normal : tensor([[-0.4350]], device='cuda:0'), angle_fog : tensor([[0.0189]], device='cuda:0'), diff: 0.4539
image name [1479424379909507957], angle_normal : tensor([[0.8448]], device='cuda:0'), angle_fog : tensor([[0.6936]], device='cuda:0'), diff: 0.1512
image name [1479424380909510354], angle_normal : tensor([[1.9891]], device='cuda:0'), angle_fog : tensor([[2.3097]], device='cuda:0'), diff: 0.3206
image name [1479424381909699411], angle_normal : tensor([[2.1302]], device='cuda:0'), angle_fog : tensor([[2.3419]], device='cuda:0'), diff: 0.2116
image name [1479424382909843583], angle_normal : tensor([[2.3233]], device='cuda:0'), angle_fog : tensor([[0.9410]], device='cuda:0'), diff: 1.3823
image name [1479424383910008571], angle_normal : tensor([[2.2440]], device='cuda:0'), angle_fog : tensor([[-0.3435]], device='cuda:0'), diff: 2.5875
image name [1479424384910256043], angle_normal : tensor([[2.7015]], device='cuda:0'), angle_fog : tensor([[1.9087]], device='cuda:0'), diff: 0.7929
image name [1479424385910410162], angle_normal : tensor([[2.2125]], device='cuda:0'), angle_fog : tensor([[-0.0572]], device='cuda:0'), diff: 2.2697
image name [1479424386910933065], angle_normal : tensor([[0.9586]], device='cuda:0'), angle_fog : tensor([[0.1213]], device='cuda:0'), diff: 0.8373
image name [1479424387910744689], angle_normal : tensor([[-0.0418]], device='cuda:0'), angle_fog : tensor([[-0.3625]], device='cuda:0'), diff: 0.3206
image name [1479424388910935793], angle_normal : tensor([[0.0595]], device='cuda:0'), angle_fog : tensor([[-0.3965]], device='cuda:0'), diff: 0.4560
image name [1479424389913362436], angle_normal : tensor([[-0.3619]], device='cuda:0'), angle_fog : tensor([[-0.3662]], device='cuda:0'), diff: 0.0042
image name [1479424390911271695], angle_normal : tensor([[-0.3277]], device='cuda:0'), angle_fog : tensor([[-0.2312]], device='cuda:0'), diff: 0.0965
image name [1479424391911510101], angle_normal : tensor([[1.1577]], device='cuda:0'), angle_fog : tensor([[-0.1184]], device='cuda:0'), diff: 1.2761
image name [1479424392911642764], angle_normal : tensor([[2.2460]], device='cuda:0'), angle_fog : tensor([[-0.2650]], device='cuda:0'), diff: 2.5110
image name [1479424393911752093], angle_normal : tensor([[2.4118]], device='cuda:0'), angle_fog : tensor([[0.4314]], device='cuda:0'), diff: 1.9804
image name [1479424394912008434], angle_normal : tensor([[-0.1239]], device='cuda:0'), angle_fog : tensor([[-0.2334]], device='cuda:0'), diff: 0.1095
image name [1479424395912118791], angle_normal : tensor([[-0.0700]], device='cuda:0'), angle_fog : tensor([[0.0514]], device='cuda:0'), diff: 0.1214
image name [1479424396912340262], angle_normal : tensor([[-0.0672]], device='cuda:0'), angle_fog : tensor([[-0.0398]], device='cuda:0'), diff: 0.0274
image name [1479424397912544490], angle_normal : tensor([[-0.0771]], device='cuda:0'), angle_fog : tensor([[-0.0453]], device='cuda:0'), diff: 0.0319
image name [1479424398912662773], angle_normal : tensor([[0.0391]], device='cuda:0'), angle_fog : tensor([[0.0408]], device='cuda:0'), diff: 0.0017
image name [1479424399912839269], angle_normal : tensor([[-0.0605]], device='cuda:0'), angle_fog : tensor([[-0.0333]], device='cuda:0'), diff: 0.0272
image name [1479424400912990594], angle_normal : tensor([[-0.1946]], device='cuda:0'), angle_fog : tensor([[-0.1686]], device='cuda:0'), diff: 0.0259
image name [1479424401913223520], angle_normal : tensor([[-0.3439]], device='cuda:0'), angle_fog : tensor([[-0.1279]], device='cuda:0'), diff: 0.2160
image name [1479424402913402772], angle_normal : tensor([[0.0842]], device='cuda:0'), angle_fog : tensor([[0.1529]], device='cuda:0'), diff: 0.0687
image name [1479424403913480782], angle_normal : tensor([[0.1676]], device='cuda:0'), angle_fog : tensor([[0.0598]], device='cuda:0'), diff: 0.1078
image name [1479424404913776290], angle_normal : tensor([[0.5658]], device='cuda:0'), angle_fog : tensor([[0.6246]], device='cuda:0'), diff: 0.0589
image name [1479424405913865056], angle_normal : tensor([[0.1473]], device='cuda:0'), angle_fog : tensor([[0.2211]], device='cuda:0'), diff: 0.0738
