image name [10006_resized], angle_normal : tensor([[-0.1428]], device='cuda:0'), angle_fog : tensor([[-0.7737]], device='cuda:0'), diff: 0.6309
image name [10277_resized], angle_normal : tensor([[0.0112]], device='cuda:0'), angle_fog : tensor([[-0.8295]], device='cuda:0'), diff: 0.8407
image name [10288_resized], angle_normal : tensor([[0.0074]], device='cuda:0'), angle_fog : tensor([[-0.8163]], device='cuda:0'), diff: 0.8237
image name [10299_resized], angle_normal : tensor([[0.0012]], device='cuda:0'), angle_fog : tensor([[-0.7946]], device='cuda:0'), diff: 0.7958
image name [10309_resized], angle_normal : tensor([[0.0078]], device='cuda:0'), angle_fog : tensor([[-0.8313]], device='cuda:0'), diff: 0.8390
image name [1032_resized], angle_normal : tensor([[0.8424]], device='cuda:0'), angle_fog : tensor([[-0.1724]], device='cuda:0'), diff: 1.0149
image name [10330_resized], angle_normal : tensor([[0.0084]], device='cuda:0'), angle_fog : tensor([[-0.7887]], device='cuda:0'), diff: 0.7971
image name [10341_resized], angle_normal : tensor([[0.0109]], device='cuda:0'), angle_fog : tensor([[-0.8026]], device='cuda:0'), diff: 0.8135
image name [10352_resized], angle_normal : tensor([[0.0006]], device='cuda:0'), angle_fog : tensor([[-0.8446]], device='cuda:0'), diff: 0.8452
image name [10363_resized], angle_normal : tensor([[0.0103]], device='cuda:0'), angle_fog : tensor([[-0.8381]], device='cuda:0'), diff: 0.8484
image name [10374_resized], angle_normal : tensor([[0.0106]], device='cuda:0'), angle_fog : tensor([[-0.8223]], device='cuda:0'), diff: 0.8329
image name [10385_resized], angle_normal : tensor([[0.0086]], device='cuda:0'), angle_fog : tensor([[-0.7959]], device='cuda:0'), diff: 0.8045
image name [10396_resized], angle_normal : tensor([[0.0131]], device='cuda:0'), angle_fog : tensor([[-0.8005]], device='cuda:0'), diff: 0.8135
image name [10406_resized], angle_normal : tensor([[0.0136]], device='cuda:0'), angle_fog : tensor([[-0.8073]], device='cuda:0'), diff: 0.8209
image name [10417_resized], angle_normal : tensor([[0.0100]], device='cuda:0'), angle_fog : tensor([[-0.8242]], device='cuda:0'), diff: 0.8342
image name [10428_resized], angle_normal : tensor([[0.0155]], device='cuda:0'), angle_fog : tensor([[-0.8059]], device='cuda:0'), diff: 0.8214
image name [10439_resized], angle_normal : tensor([[0.0121]], device='cuda:0'), angle_fog : tensor([[-0.7861]], device='cuda:0'), diff: 0.7982
image name [1045_resized], angle_normal : tensor([[0.4015]], device='cuda:0'), angle_fog : tensor([[-0.1485]], device='cuda:0'), diff: 0.5499
image name [10460_resized], angle_normal : tensor([[0.0209]], device='cuda:0'), angle_fog : tensor([[-0.6821]], device='cuda:0'), diff: 0.7030
image name [10471_resized], angle_normal : tensor([[0.0124]], device='cuda:0'), angle_fog : tensor([[-0.6570]], device='cuda:0'), diff: 0.6694
image name [10482_resized], angle_normal : tensor([[0.0124]], device='cuda:0'), angle_fog : tensor([[-0.5535]], device='cuda:0'), diff: 0.5659
image name [10493_resized], angle_normal : tensor([[0.0118]], device='cuda:0'), angle_fog : tensor([[-0.2731]], device='cuda:0'), diff: 0.2850
image name [10503_resized], angle_normal : tensor([[0.0146]], device='cuda:0'), angle_fog : tensor([[-0.2832]], device='cuda:0'), diff: 0.2978
image name [10514_resized], angle_normal : tensor([[0.0118]], device='cuda:0'), angle_fog : tensor([[-0.2680]], device='cuda:0'), diff: 0.2798
image name [10525_resized], angle_normal : tensor([[0.0428]], device='cuda:0'), angle_fog : tensor([[-0.4492]], device='cuda:0'), diff: 0.4920
image name [10536_resized], angle_normal : tensor([[0.0413]], device='cuda:0'), angle_fog : tensor([[-0.4231]], device='cuda:0'), diff: 0.4645
image name [10547_resized], angle_normal : tensor([[0.0394]], device='cuda:0'), angle_fog : tensor([[-0.1944]], device='cuda:0'), diff: 0.2338
image name [10569_resized], angle_normal : tensor([[0.0154]], device='cuda:0'), angle_fog : tensor([[-0.3117]], device='cuda:0'), diff: 0.3271
image name [1058_resized], angle_normal : tensor([[0.1261]], device='cuda:0'), angle_fog : tensor([[-0.2153]], device='cuda:0'), diff: 0.3414
image name [10590_resized], angle_normal : tensor([[-0.3783]], device='cuda:0'), angle_fog : tensor([[-0.2046]], device='cuda:0'), diff: 0.1738
image name [10600_resized], angle_normal : tensor([[-0.5704]], device='cuda:0'), angle_fog : tensor([[-0.2450]], device='cuda:0'), diff: 0.3254
image name [10611_resized], angle_normal : tensor([[-2.0340]], device='cuda:0'), angle_fog : tensor([[-0.3112]], device='cuda:0'), diff: 1.7228
image name [10622_resized], angle_normal : tensor([[-2.3410]], device='cuda:0'), angle_fog : tensor([[0.4906]], device='cuda:0'), diff: 2.8316
image name [10633_resized], angle_normal : tensor([[-2.2874]], device='cuda:0'), angle_fog : tensor([[-0.0960]], device='cuda:0'), diff: 2.1915
image name [10644_resized], angle_normal : tensor([[-2.3516]], device='cuda:0'), angle_fog : tensor([[-0.1317]], device='cuda:0'), diff: 2.2199
image name [10655_resized], angle_normal : tensor([[-2.1155]], device='cuda:0'), angle_fog : tensor([[-0.2148]], device='cuda:0'), diff: 1.9007
image name [10666_resized], angle_normal : tensor([[-1.8420]], device='cuda:0'), angle_fog : tensor([[-0.3342]], device='cuda:0'), diff: 1.5078
image name [10677_resized], angle_normal : tensor([[-1.7470]], device='cuda:0'), angle_fog : tensor([[-0.1355]], device='cuda:0'), diff: 1.6116
image name [10688_resized], angle_normal : tensor([[-1.1490]], device='cuda:0'), angle_fog : tensor([[-0.1694]], device='cuda:0'), diff: 0.9796
image name [10699_resized], angle_normal : tensor([[-0.6313]], device='cuda:0'), angle_fog : tensor([[-0.0760]], device='cuda:0'), diff: 0.5553
image name [10709_resized], angle_normal : tensor([[-0.1907]], device='cuda:0'), angle_fog : tensor([[-0.1366]], device='cuda:0'), diff: 0.0541
image name [1072_resized], angle_normal : tensor([[0.1426]], device='cuda:0'), angle_fog : tensor([[-0.3421]], device='cuda:0'), diff: 0.4847
image name [10730_resized], angle_normal : tensor([[0.0658]], device='cuda:0'), angle_fog : tensor([[-0.2479]], device='cuda:0'), diff: 0.3137
image name [10741_resized], angle_normal : tensor([[0.0569]], device='cuda:0'), angle_fog : tensor([[-0.2718]], device='cuda:0'), diff: 0.3286
image name [10752_resized], angle_normal : tensor([[0.0181]], device='cuda:0'), angle_fog : tensor([[-0.2519]], device='cuda:0'), diff: 0.2700
image name [10774_resized], angle_normal : tensor([[0.0109]], device='cuda:0'), angle_fog : tensor([[-0.2136]], device='cuda:0'), diff: 0.2245
image name [10785_resized], angle_normal : tensor([[0.0083]], device='cuda:0'), angle_fog : tensor([[-0.2113]], device='cuda:0'), diff: 0.2197
image name [10806_resized], angle_normal : tensor([[0.0218]], device='cuda:0'), angle_fog : tensor([[-0.2195]], device='cuda:0'), diff: 0.2413
image name [10817_resized], angle_normal : tensor([[0.0091]], device='cuda:0'), angle_fog : tensor([[-0.2078]], device='cuda:0'), diff: 0.2169
image name [10828_resized], angle_normal : tensor([[-0.0142]], device='cuda:0'), angle_fog : tensor([[-0.1599]], device='cuda:0'), diff: 0.1457
image name [10839_resized], angle_normal : tensor([[-0.0166]], device='cuda:0'), angle_fog : tensor([[-0.1862]], device='cuda:0'), diff: 0.1696
image name [1085_resized], angle_normal : tensor([[0.2534]], device='cuda:0'), angle_fog : tensor([[-0.3820]], device='cuda:0'), diff: 0.6355
image name [10860_resized], angle_normal : tensor([[-0.0235]], device='cuda:0'), angle_fog : tensor([[-0.1977]], device='cuda:0'), diff: 0.1741
image name [10871_resized], angle_normal : tensor([[-0.0995]], device='cuda:0'), angle_fog : tensor([[-0.1831]], device='cuda:0'), diff: 0.0836
image name [10882_resized], angle_normal : tensor([[-0.0998]], device='cuda:0'), angle_fog : tensor([[-0.1732]], device='cuda:0'), diff: 0.0733
image name [10893_resized], angle_normal : tensor([[-0.1002]], device='cuda:0'), angle_fog : tensor([[-0.2052]], device='cuda:0'), diff: 0.1050
image name [10903_resized], angle_normal : tensor([[-0.1245]], device='cuda:0'), angle_fog : tensor([[-0.2537]], device='cuda:0'), diff: 0.1292
image name [10914_resized], angle_normal : tensor([[-0.1353]], device='cuda:0'), angle_fog : tensor([[-0.2102]], device='cuda:0'), diff: 0.0750
image name [10925_resized], angle_normal : tensor([[-0.1833]], device='cuda:0'), angle_fog : tensor([[-0.2086]], device='cuda:0'), diff: 0.0253
image name [10936_resized], angle_normal : tensor([[-0.1273]], device='cuda:0'), angle_fog : tensor([[-0.2011]], device='cuda:0'), diff: 0.0738
image name [10947_resized], angle_normal : tensor([[-0.0947]], device='cuda:0'), angle_fog : tensor([[-0.1728]], device='cuda:0'), diff: 0.0782
image name [10958_resized], angle_normal : tensor([[-0.1303]], device='cuda:0'), angle_fog : tensor([[-0.2245]], device='cuda:0'), diff: 0.0942
image name [10969_resized], angle_normal : tensor([[-0.0673]], device='cuda:0'), angle_fog : tensor([[-0.2011]], device='cuda:0'), diff: 0.1338
image name [1098_resized], angle_normal : tensor([[0.2960]], device='cuda:0'), angle_fog : tensor([[-0.2460]], device='cuda:0'), diff: 0.5420
image name [10990_resized], angle_normal : tensor([[-0.0487]], device='cuda:0'), angle_fog : tensor([[-0.2094]], device='cuda:0'), diff: 0.1607
image name [1100_resized], angle_normal : tensor([[0.2937]], device='cuda:0'), angle_fog : tensor([[-0.2588]], device='cuda:0'), diff: 0.5525
image name [11010_resized], angle_normal : tensor([[-0.0180]], device='cuda:0'), angle_fog : tensor([[-0.2398]], device='cuda:0'), diff: 0.2218
image name [11021_resized], angle_normal : tensor([[-0.0090]], device='cuda:0'), angle_fog : tensor([[-0.3382]], device='cuda:0'), diff: 0.3292
image name [11032_resized], angle_normal : tensor([[-0.0004]], device='cuda:0'), angle_fog : tensor([[-0.1567]], device='cuda:0'), diff: 0.1563
image name [11043_resized], angle_normal : tensor([[0.0319]], device='cuda:0'), angle_fog : tensor([[-0.1665]], device='cuda:0'), diff: 0.1984
image name [11054_resized], angle_normal : tensor([[0.0319]], device='cuda:0'), angle_fog : tensor([[-0.1573]], device='cuda:0'), diff: 0.1892
image name [11065_resized], angle_normal : tensor([[0.0358]], device='cuda:0'), angle_fog : tensor([[-0.1578]], device='cuda:0'), diff: 0.1935
image name [11076_resized], angle_normal : tensor([[0.0102]], device='cuda:0'), angle_fog : tensor([[-0.3890]], device='cuda:0'), diff: 0.3992
image name [11098_resized], angle_normal : tensor([[0.0157]], device='cuda:0'), angle_fog : tensor([[-0.2351]], device='cuda:0'), diff: 0.2508
image name [11108_resized], angle_normal : tensor([[0.0042]], device='cuda:0'), angle_fog : tensor([[-0.1571]], device='cuda:0'), diff: 0.1612
image name [11119_resized], angle_normal : tensor([[-0.0050]], device='cuda:0'), angle_fog : tensor([[-0.2389]], device='cuda:0'), diff: 0.2338
image name [1113_resized], angle_normal : tensor([[0.1816]], device='cuda:0'), angle_fog : tensor([[-0.3288]], device='cuda:0'), diff: 0.5104
image name [11140_resized], angle_normal : tensor([[0.0021]], device='cuda:0'), angle_fog : tensor([[-0.2146]], device='cuda:0'), diff: 0.2167
image name [11151_resized], angle_normal : tensor([[0.0094]], device='cuda:0'), angle_fog : tensor([[-0.1977]], device='cuda:0'), diff: 0.2071
image name [11162_resized], angle_normal : tensor([[0.0104]], device='cuda:0'), angle_fog : tensor([[-0.3084]], device='cuda:0'), diff: 0.3189
image name [11173_resized], angle_normal : tensor([[0.0249]], device='cuda:0'), angle_fog : tensor([[-0.2870]], device='cuda:0'), diff: 0.3119
image name [11184_resized], angle_normal : tensor([[-0.0280]], device='cuda:0'), angle_fog : tensor([[-0.1995]], device='cuda:0'), diff: 0.1714
image name [11195_resized], angle_normal : tensor([[0.0184]], device='cuda:0'), angle_fog : tensor([[-0.2018]], device='cuda:0'), diff: 0.2203
image name [11205_resized], angle_normal : tensor([[0.0129]], device='cuda:0'), angle_fog : tensor([[-0.1967]], device='cuda:0'), diff: 0.2096
image name [11216_resized], angle_normal : tensor([[0.0008]], device='cuda:0'), angle_fog : tensor([[-0.2306]], device='cuda:0'), diff: 0.2314
image name [11227_resized], angle_normal : tensor([[0.0199]], device='cuda:0'), angle_fog : tensor([[-0.2323]], device='cuda:0'), diff: 0.2522
image name [11238_resized], angle_normal : tensor([[0.0128]], device='cuda:0'), angle_fog : tensor([[-0.1864]], device='cuda:0'), diff: 0.1992
image name [11249_resized], angle_normal : tensor([[0.0236]], device='cuda:0'), angle_fog : tensor([[-0.1991]], device='cuda:0'), diff: 0.2228
image name [1126_resized], angle_normal : tensor([[0.1631]], device='cuda:0'), angle_fog : tensor([[-0.2793]], device='cuda:0'), diff: 0.4423
image name [11270_resized], angle_normal : tensor([[0.0273]], device='cuda:0'), angle_fog : tensor([[-0.2311]], device='cuda:0'), diff: 0.2584
image name [11281_resized], angle_normal : tensor([[0.0242]], device='cuda:0'), angle_fog : tensor([[-0.2415]], device='cuda:0'), diff: 0.2657
image name [11292_resized], angle_normal : tensor([[0.0299]], device='cuda:0'), angle_fog : tensor([[-0.2207]], device='cuda:0'), diff: 0.2506
image name [11302_resized], angle_normal : tensor([[0.0284]], device='cuda:0'), angle_fog : tensor([[-0.2287]], device='cuda:0'), diff: 0.2571
image name [11313_resized], angle_normal : tensor([[0.0109]], device='cuda:0'), angle_fog : tensor([[-0.2199]], device='cuda:0'), diff: 0.2308
image name [11324_resized], angle_normal : tensor([[-0.0002]], device='cuda:0'), angle_fog : tensor([[-0.2391]], device='cuda:0'), diff: 0.2389
image name [11335_resized], angle_normal : tensor([[0.0123]], device='cuda:0'), angle_fog : tensor([[-0.2667]], device='cuda:0'), diff: 0.2790
image name [11346_resized], angle_normal : tensor([[0.0107]], device='cuda:0'), angle_fog : tensor([[-0.3379]], device='cuda:0'), diff: 0.3487
image name [11357_resized], angle_normal : tensor([[0.0095]], device='cuda:0'), angle_fog : tensor([[-0.3771]], device='cuda:0'), diff: 0.3866
image name [11368_resized], angle_normal : tensor([[0.0087]], device='cuda:0'), angle_fog : tensor([[-0.2905]], device='cuda:0'), diff: 0.2992
image name [11379_resized], angle_normal : tensor([[0.0132]], device='cuda:0'), angle_fog : tensor([[-0.2843]], device='cuda:0'), diff: 0.2975
image name [1139_resized], angle_normal : tensor([[0.1638]], device='cuda:0'), angle_fog : tensor([[-0.2244]], device='cuda:0'), diff: 0.3883
image name [1140_resized], angle_normal : tensor([[0.1649]], device='cuda:0'), angle_fog : tensor([[-0.2092]], device='cuda:0'), diff: 0.3741
image name [11410_resized], angle_normal : tensor([[-0.0024]], device='cuda:0'), angle_fog : tensor([[-0.2540]], device='cuda:0'), diff: 0.2515
image name [11421_resized], angle_normal : tensor([[-0.0069]], device='cuda:0'), angle_fog : tensor([[-0.2275]], device='cuda:0'), diff: 0.2206
image name [11432_resized], angle_normal : tensor([[-0.0097]], device='cuda:0'), angle_fog : tensor([[-0.2414]], device='cuda:0'), diff: 0.2317
image name [11443_resized], angle_normal : tensor([[-0.0062]], device='cuda:0'), angle_fog : tensor([[-0.2557]], device='cuda:0'), diff: 0.2495
image name [11454_resized], angle_normal : tensor([[-0.0046]], device='cuda:0'), angle_fog : tensor([[-0.2683]], device='cuda:0'), diff: 0.2638
image name [11465_resized], angle_normal : tensor([[-0.0011]], device='cuda:0'), angle_fog : tensor([[-0.2835]], device='cuda:0'), diff: 0.2824
image name [11476_resized], angle_normal : tensor([[-0.0030]], device='cuda:0'), angle_fog : tensor([[-0.3634]], device='cuda:0'), diff: 0.3604
image name [11487_resized], angle_normal : tensor([[-0.0078]], device='cuda:0'), angle_fog : tensor([[-0.3068]], device='cuda:0'), diff: 0.2990
image name [11498_resized], angle_normal : tensor([[0.0126]], device='cuda:0'), angle_fog : tensor([[-0.2789]], device='cuda:0'), diff: 0.2914
image name [11508_resized], angle_normal : tensor([[0.0064]], device='cuda:0'), angle_fog : tensor([[-0.1920]], device='cuda:0'), diff: 0.1983
image name [11519_resized], angle_normal : tensor([[0.0142]], device='cuda:0'), angle_fog : tensor([[-0.2266]], device='cuda:0'), diff: 0.2408
image name [1153_resized], angle_normal : tensor([[0.0682]], device='cuda:0'), angle_fog : tensor([[-0.3741]], device='cuda:0'), diff: 0.4423
image name [11540_resized], angle_normal : tensor([[0.0243]], device='cuda:0'), angle_fog : tensor([[-0.2147]], device='cuda:0'), diff: 0.2390
image name [11551_resized], angle_normal : tensor([[0.0204]], device='cuda:0'), angle_fog : tensor([[-0.1500]], device='cuda:0'), diff: 0.1704
image name [11562_resized], angle_normal : tensor([[0.0218]], device='cuda:0'), angle_fog : tensor([[-0.1919]], device='cuda:0'), diff: 0.2137
image name [11573_resized], angle_normal : tensor([[0.0353]], device='cuda:0'), angle_fog : tensor([[-0.1704]], device='cuda:0'), diff: 0.2057
image name [11584_resized], angle_normal : tensor([[0.0199]], device='cuda:0'), angle_fog : tensor([[-0.1594]], device='cuda:0'), diff: 0.1792
image name [11595_resized], angle_normal : tensor([[0.0066]], device='cuda:0'), angle_fog : tensor([[-0.1821]], device='cuda:0'), diff: 0.1888
image name [11605_resized], angle_normal : tensor([[-0.0359]], device='cuda:0'), angle_fog : tensor([[-0.1862]], device='cuda:0'), diff: 0.1502
image name [11616_resized], angle_normal : tensor([[-0.1437]], device='cuda:0'), angle_fog : tensor([[-0.1592]], device='cuda:0'), diff: 0.0155
image name [11627_resized], angle_normal : tensor([[-0.1851]], device='cuda:0'), angle_fog : tensor([[-0.1145]], device='cuda:0'), diff: 0.0707
image name [11638_resized], angle_normal : tensor([[-0.1714]], device='cuda:0'), angle_fog : tensor([[-0.1806]], device='cuda:0'), diff: 0.0092
image name [11649_resized], angle_normal : tensor([[-0.2991]], device='cuda:0'), angle_fog : tensor([[-0.1775]], device='cuda:0'), diff: 0.1215
image name [1166_resized], angle_normal : tensor([[0.1492]], device='cuda:0'), angle_fog : tensor([[-0.4188]], device='cuda:0'), diff: 0.5680
image name [11670_resized], angle_normal : tensor([[-0.2422]], device='cuda:0'), angle_fog : tensor([[-0.1267]], device='cuda:0'), diff: 0.1156
image name [11681_resized], angle_normal : tensor([[-0.2481]], device='cuda:0'), angle_fog : tensor([[-0.0536]], device='cuda:0'), diff: 0.1945
image name [11692_resized], angle_normal : tensor([[-0.2722]], device='cuda:0'), angle_fog : tensor([[-0.1062]], device='cuda:0'), diff: 0.1660
image name [11702_resized], angle_normal : tensor([[-0.2757]], device='cuda:0'), angle_fog : tensor([[-0.1510]], device='cuda:0'), diff: 0.1247
image name [11713_resized], angle_normal : tensor([[-0.1370]], device='cuda:0'), angle_fog : tensor([[-0.1789]], device='cuda:0'), diff: 0.0419
image name [11724_resized], angle_normal : tensor([[-0.2443]], device='cuda:0'), angle_fog : tensor([[-0.2238]], device='cuda:0'), diff: 0.0205
image name [11735_resized], angle_normal : tensor([[-0.2362]], device='cuda:0'), angle_fog : tensor([[-0.2245]], device='cuda:0'), diff: 0.0117
image name [11746_resized], angle_normal : tensor([[-0.2214]], device='cuda:0'), angle_fog : tensor([[-0.2023]], device='cuda:0'), diff: 0.0191
image name [11757_resized], angle_normal : tensor([[-0.2555]], device='cuda:0'), angle_fog : tensor([[-0.2291]], device='cuda:0'), diff: 0.0264
image name [11768_resized], angle_normal : tensor([[-0.2358]], device='cuda:0'), angle_fog : tensor([[-0.2076]], device='cuda:0'), diff: 0.0282
image name [11779_resized], angle_normal : tensor([[-0.2349]], device='cuda:0'), angle_fog : tensor([[-0.1903]], device='cuda:0'), diff: 0.0447
image name [1179_resized], angle_normal : tensor([[0.1156]], device='cuda:0'), angle_fog : tensor([[-0.5836]], device='cuda:0'), diff: 0.6992
image name [1180_resized], angle_normal : tensor([[0.1135]], device='cuda:0'), angle_fog : tensor([[-0.5989]], device='cuda:0'), diff: 0.7124
image name [11810_resized], angle_normal : tensor([[-0.2493]], device='cuda:0'), angle_fog : tensor([[-0.1520]], device='cuda:0'), diff: 0.0973
image name [11821_resized], angle_normal : tensor([[-0.2589]], device='cuda:0'), angle_fog : tensor([[-0.1537]], device='cuda:0'), diff: 0.1052
image name [11832_resized], angle_normal : tensor([[-0.1684]], device='cuda:0'), angle_fog : tensor([[-0.1330]], device='cuda:0'), diff: 0.0355
image name [11843_resized], angle_normal : tensor([[-0.1870]], device='cuda:0'), angle_fog : tensor([[-0.1059]], device='cuda:0'), diff: 0.0811
image name [11854_resized], angle_normal : tensor([[-0.2316]], device='cuda:0'), angle_fog : tensor([[-0.1106]], device='cuda:0'), diff: 0.1210
image name [11865_resized], angle_normal : tensor([[-0.1997]], device='cuda:0'), angle_fog : tensor([[-0.1051]], device='cuda:0'), diff: 0.0947
image name [11876_resized], angle_normal : tensor([[-0.2906]], device='cuda:0'), angle_fog : tensor([[-0.1440]], device='cuda:0'), diff: 0.1466
image name [11887_resized], angle_normal : tensor([[-0.1349]], device='cuda:0'), angle_fog : tensor([[-0.2071]], device='cuda:0'), diff: 0.0721
image name [11898_resized], angle_normal : tensor([[-0.2308]], device='cuda:0'), angle_fog : tensor([[-0.1741]], device='cuda:0'), diff: 0.0567
image name [11908_resized], angle_normal : tensor([[-0.2553]], device='cuda:0'), angle_fog : tensor([[-0.1622]], device='cuda:0'), diff: 0.0931
image name [11919_resized], angle_normal : tensor([[-0.2822]], device='cuda:0'), angle_fog : tensor([[-0.1780]], device='cuda:0'), diff: 0.1042
image name [1193_resized], angle_normal : tensor([[-0.0717]], device='cuda:0'), angle_fog : tensor([[-0.5519]], device='cuda:0'), diff: 0.4802
image name [11951_resized], angle_normal : tensor([[-0.2666]], device='cuda:0'), angle_fog : tensor([[-0.1418]], device='cuda:0'), diff: 0.1248
image name [11962_resized], angle_normal : tensor([[-0.2681]], device='cuda:0'), angle_fog : tensor([[-0.1591]], device='cuda:0'), diff: 0.1089
image name [11973_resized], angle_normal : tensor([[-0.2163]], device='cuda:0'), angle_fog : tensor([[-0.2087]], device='cuda:0'), diff: 0.0076
image name [11984_resized], angle_normal : tensor([[-0.0251]], device='cuda:0'), angle_fog : tensor([[-0.2032]], device='cuda:0'), diff: 0.1781
image name [11995_resized], angle_normal : tensor([[0.0120]], device='cuda:0'), angle_fog : tensor([[-0.2416]], device='cuda:0'), diff: 0.2536
image name [12004_resized], angle_normal : tensor([[0.0196]], device='cuda:0'), angle_fog : tensor([[-0.2187]], device='cuda:0'), diff: 0.2382
image name [12015_resized], angle_normal : tensor([[0.0329]], device='cuda:0'), angle_fog : tensor([[-0.2909]], device='cuda:0'), diff: 0.3238
image name [12037_resized], angle_normal : tensor([[0.0115]], device='cuda:0'), angle_fog : tensor([[-0.2752]], device='cuda:0'), diff: 0.2867
image name [12048_resized], angle_normal : tensor([[0.0276]], device='cuda:0'), angle_fog : tensor([[-0.2317]], device='cuda:0'), diff: 0.2593
image name [12059_resized], angle_normal : tensor([[0.0194]], device='cuda:0'), angle_fog : tensor([[-0.2630]], device='cuda:0'), diff: 0.2824
image name [1207_resized], angle_normal : tensor([[-0.1231]], device='cuda:0'), angle_fog : tensor([[-0.6134]], device='cuda:0'), diff: 0.4903
image name [12080_resized], angle_normal : tensor([[0.0456]], device='cuda:0'), angle_fog : tensor([[-0.3337]], device='cuda:0'), diff: 0.3793
image name [12091_resized], angle_normal : tensor([[0.0361]], device='cuda:0'), angle_fog : tensor([[-0.2849]], device='cuda:0'), diff: 0.3210
image name [12101_resized], angle_normal : tensor([[0.0392]], device='cuda:0'), angle_fog : tensor([[-0.3209]], device='cuda:0'), diff: 0.3601
image name [12112_resized], angle_normal : tensor([[0.0432]], device='cuda:0'), angle_fog : tensor([[-0.3297]], device='cuda:0'), diff: 0.3729
image name [12123_resized], angle_normal : tensor([[0.0679]], device='cuda:0'), angle_fog : tensor([[-0.3643]], device='cuda:0'), diff: 0.4323
image name [12134_resized], angle_normal : tensor([[0.1424]], device='cuda:0'), angle_fog : tensor([[-0.4503]], device='cuda:0'), diff: 0.5927
image name [12145_resized], angle_normal : tensor([[0.2412]], device='cuda:0'), angle_fog : tensor([[-0.5107]], device='cuda:0'), diff: 0.7520
image name [12156_resized], angle_normal : tensor([[0.2891]], device='cuda:0'), angle_fog : tensor([[-0.2907]], device='cuda:0'), diff: 0.5798
image name [12167_resized], angle_normal : tensor([[0.3644]], device='cuda:0'), angle_fog : tensor([[-0.3151]], device='cuda:0'), diff: 0.6796
